"Syntaxon","EVCcode","Name","VerbalDiagnosis"
"DA01E","FES-01E","Potentillo-Brachypodion pinnati Br.-Bl. 1967","Meso-xerophytic neutro-basiphilous grasslands in the montane belt of the Northern Spain mountain ranges and the Pyrenees"
"DA01F","FES-01F","Polygalo mediterraneae-Bromion erecti (Biondi et al. 2005) Di Pietro in Di Pietro et al. 2015","Dry grasslands on deep clay-rich soils over flysch bedrocks in the colline to lower montane belts of the Apennines"
"DA01G","FES-01G","Chrysopogono-Danthonion calycinae Kojić 1959","Dry grasslands on deep soils over siliceous bedrocks in the colline to submontane belts of the Southern and Central Balkans"
"DA02","FES-02","Festucetalia valesiacae Soó 1947","Steppes and rocky steppic grasslands on deep soils in the steppe and forest-steppe zones of Europe and northwestern Central Asia"
"DA02A","FES-02A","Festucion valesiacae Klika 1931 nom. conserv. propos.","Steppe fescue grasslands on deep calcareous soils of subcontinental Central Europe, Romania, Bulgaria and northwestern Ukraine"
"DA02B","FES-02B","Koelerio-Phleion phleoidis Korneck 1974","Steppic silicicolous grasslands of the subatlantic and subcontinental regions of the temperate Europe"
"DA02C","FES-02C","Stipion lessingianae Soó 1947","Dry feather-grass and fescue steppes on deep soils of Transylvania, Moldova and southwestern Ukraine"
"DA02D","FES-02D","Centaureo carbonatae-Koelerion talievii Romashchenko et al. 1996","Steppe fescue grasslands on deep calcareous soils of continental northeastern Ukraine and adjacent Russia"
"DA02E","FES-02E","Adonido vernalis-Stipion tirsae Didukh in Didukh et Mucina 2014","Steppic dwarf-scrub grasslands at low altitudes of Eastern Crimea"
"DA02F","FES-02F","Veronico multifidae-Stipion ponticae Didukh in Didukh et Mucina 2014","Steppic dwarf-scrub rich grasslands of the northern piedmonts of the mountain ranges of southeastern and central regions of Crimea"
"DA02G","FES-02G","Artemisio tauricae-Festucion Korzhenevsky et Klyukin 1991","Steppes on clayey volcanic sediments of Southern Ukraine"
"DA02H","FES-02H","Agropyrion pectinati Golub et Uzhametskaya 1991","Subsaline steppic grasslands of the Middle Volga region"
"DA02I","FES-02I","Artemisio-Kochion Soó 1964","Relict tardiglacial xerophytic loess steppes of the Pannonian region"
"DA02J","FES-02J","Stipo-Poion xerophilae Br.-Bl. et Richard 1950","Relict tardiglacial xerophytic fescue and feather steppic rocky grasslands of deep intramontane valleys of the Alps"
"DA03","FES-03","Helictotricho desertorum-Stipetalia Toman 1969","Continental subxeric temperate grasslands in the steppe zone of the Volga River valley, the Southern Urals and Northern Kazakhstan"
"DA03A","FES-03A","Helictotricho desertorum-Stipion rubentis Toman 1969","Continental subxeric steppes of Northern Kazakhstan and the Southern Urals"
"DA03B","FES-03B","Scorzonero austriacae-Koelerion sclerophyllae Solomeshch et al. 1994","Dry steppes on shallow rocky soils on steep slopes in the steppe zone of the Southern Urals"
"DA03C","FES-03C","Lathyro pallescentis-Helictotrichion schelliani Solomeshch et al. 1994","Mesic steppes on fertile deep soils on gentle slopes in the steppe zone of the Southern Urals"
"DA03D","FES-03D","Aconopogonion alpini Yamalov et al. 2009 nom. inval.","Extrazonal insular steppes in the boreal forest zone at higher altitudes of the Southern Urals"
"DA03E","FES-03E","Centaureion sumensis Golub et al. 1995","Continental relict rocky steppes of the Middle Volga River valley"
"DA04","FES-04","Tanaceto achilleifolii-Stipetalia lessingianae Lysenko et Mucina in Mucina et al. 2016","Continental temperate dry steppe grasslands of the semi-desert transitional zone of the Don, Lower Volga and Ural River valleys and Northern Kazakhstan"
"DA04A","FES-04A","Tanaceto achilleifolii-Stipion lessingianae Royer ex Lysenko et Mucina in Mucina et al. 2016","Continental temperate dry steppe grasslands of the transitional steppe to desert zone of the Don, Volga and Ural River valleys"
"DA04B","FES-04B","Stipion korshinskyi Toman 1969","Continental temperate dry steppe grasslands of the semi-desert zone of northwestern Kazakhstan and the neighbouring regions of Russia"
"DA04C","FES-04C","Caricion stenophyllae Golub et Saveleva 1991","Continental temperate subsaline steppe grasslands around lakes in the semi-desert zone of the Lower Volga River valley"
"DA05","FES-05","Stipo pulcherrimae-Festucetalia pallentis Pop 1968 nom. conserv. propos.","Xerophilous open steppic grasslands on shallow rocky calcareous and siliceous substrates of Central and southeastern Europe"
"DA05A","FES-05A","Alysso-Festucion pallentis Moravec in Holub et al. 1967","Xerophilous steppic grasslands on shallow soils over siliceous and ultramafic rocks as well as Silurian limestones of the Hercynicum"
"DA05B","FES-05B","Asplenio-Festucion pallentis Zólyomi 1936 corr. 1966","Xerophilous rocky steppic grasslands on shallow soils over siliceous and ultramafic rocks of the Eastern Alps and northern fringes of the Pannonian Basin"
"DA05C","FES-05C","Bromo pannonici-Festucion csikhegyensis Zólyomi 1966 corr. Mucina in Di Pietro et al. 2015","Xerophilous rocky steppic grasslands on calcareous substrates of the northern fringes of the Pannonian Basin and the Ukrainian Podolya"
"DA05D","FES-05D","Chrysopogono-Festucion dalmaticae Borhidi 1996","Xerophilous rocky steppic grasslands on calcareous substrates of the southern fringes of the Pannonian Basin"
"DA05E","FES-05E","Saturejion montanae Horvat in Horvat et al. 1974","Xerophilous rocky steppic grasslands on calcareous substrates of the Northern Balkans"
"DA05F","FES-05F","Pimpinello-Thymion zygoidi Dihoru et Doniţa 1970","Xerophilous rocky steppic dwarf-shrub rich grasslands on steep calcareous slopes of Dobrogea and northeastern Bulgaria"
"DA05G","FES-05G","Potentillo arenariae-Linion czerniaevii Krasova et Smetana 1999","Xerophilous rocky steppic species-rich grasslands on limestone outcrops of Southern Ukraine"
"DA05H","FES-05H","Androsaco tauricae-Caricion humilis Didukh in Mucina et Didukh 2014","Xerophilous rocky steppic grasslands in the submontane and montane belts of Eastern Crimea"
"DA05I","FES-05I","Diantho lumnitzeri-Seslerion (Soó 1971) Chytrý et Mucina in Mucina et Kolbek 1993","Dealpine relict xerophilous steppic grasslands on calcareous substrates of southeastern Central Europe"
"DA05J","FES-05J","Seslerion rigidae Zólyomi 1936","Dealpine relict xerophilous steppic grasslands on calcareous substrates of the Eastern Carpathians"
"DA06","FES-06","Thymo cretacei-Hyssopetalia cretacei Didukh 1989","Xerophilous rocky dwarf-shrub rich steppic grasslands on chalk outcrops of the southwestern Central Russian Upland"
"DA06A","FES-06A","Artemisio hololeucae-Hyssopion cretacei Romashchenko et al. 1996","Xerophilous rocky dwarf-shrub rich steppic grasslands on steep eroding chalk outcrops of the southern regions of the Central Russian Upland"
"DA06B","FES-06B","Euphorbio cretophilae-Thymion cretacei Didukh 1989","Xerophilous rocky dwarf-shrub rich steppic grasslands rich on chalk outcrops of the southern regions of the Siverskii Donets River valley"
"DA07","FES-07","Brachypodietalia phoenicoidis Br.-Bl. ex Molinier 1934","Submediterranean steppic grasslands on deep basic to neutral-acidophilous mesic soils of precipitation-rich regions of southwestern Europe"
"DA07A","FES-07A","Brachypodion phoenicoidis Br.-Bl. ex Molinier 1934","Submediterranean steppic grasslands on deep mesic soils of the Ligurian and Tyrrhenian seaboards"
"DA07B","FES-07B","Artemisio albae-Dichanthion ischaemi X. Font ex Rivas-Mart. et M.L. López in Rivas-Mart. et al. 2002","Submediterranean submontane and montane acidophilous steppic grasslands of the piedmonts and intramontane valleys of the Pyrenees"
"DA07C","FES-07C","Diplachnion serotinae Br.-Bl. 1961","Submediterranean colline-submontane acidophilous xeric grasslands of the precipitation-rich southern rims of the Alps"
"DA08","FES-08","Artemisio albae-Brometalia erecti Ubaldi ex Dengler et Mucina in Mucina et al. 2009","Xerophytic basiphilous open grasslands of subatlantic and submediterranean Europe"
"DA08A","FES-08A","Xerobromion erecti Zoller 1954","Meso-xerophytic basiphilous open grasslands of southwestern Central Europe and France"
"DA08B","FES-08B","Festuco-Bromion Barbero et Loisel 1971","Meso-xerophytic basiphilous open grasslands of the submediterranean regions of Provence and Liguria"
"DA09","FES-09","Scorzoneretalia villosae Kovačević 1959","Amphiadriatic dry steppic submediterranean pastures of the Prealpine, Illyrian and Dinaric regions"
"DA09A","FES-09A","Chrysopogono grylli-Koelerion splendentis Horvatić 1973","Illyrian submediterranean rocky grasslands on shallow calcareous soils"
"DA09B","FES-09B","Saturejion subspicatae Tomić-Stanković 1970","Dinaric submediterranean montane calcareous rocky grasslands on shallow soils"
"DA09C","FES-09C","Centaureion dichroanthae Pignatti 1952","Prealpic submediterranean montane calcareous rocky grasslands on shallow soils"
"DA09D","FES-09D","Scorzonerion villosae Horvatić ex Kovačević 1959","Prealpic and Illyrian meso-xerophytic submediterranean grasslands on deep and partly decalcified soils"
"DA09E","FES-09E","Hippocrepido glaucae-Stipion austroitalicae Forte et Terzi in Forte et al. 2005","Submediterranean xeric pastures on rocky calcareous soils of Apulia (Southern Italy)"
"DA10","FES-10","Astragalo onobrychidis-Potentilletalia Micevski 1971","Dry submediterranean montane steppic grasslands on calcareous substrates of the Southern Balkans"
"DA10A","FES-10A","Saturejo-Thymion Micevski 1971","Dry submediterranean montane steppic grasslands on calcareous substrates of the Southern Balkans"
"DA11","FES-11","Halacsyetalia sendtneri Ritter-Studnička 1970","Ultramafic and silicicolous xeric rocky grasslands in the submontane to supramontane belts of the continental regions of the Balkan Peninsula"
"DA11A","FES-11A","Polygonion albanicae Ritter-Studnička 1970","Ultramafic xeric rocky grasslands of Bosnia"
"DA11B","FES-11B","Centaureo-Bromion fibrosi Blečić et al. 1969","Ultramafic xeric rocky grasslands of Kosovo, Serbia, Northern Macedonia and Albania"
"DA11C","FES-11C","Alyssion heldreichii Bergmeier et al. 2009","Ultramafic xeric rocky grasslands of Northern Hellas and Southern Macedonia"
"DB","FEP","Festuco-Puccinellietea Soó ex Vicherek 1973","Saline steppes and secondary saline steppic grasslands of the continental regions of Europe"
"DB01","FEP-01","Puccinellietalia Soó 1947","Meso-xerophytic saline pastures in the subcontinental and submediterranean zones of the southern regions of Central and Southern Europe"
"DB01A","FEP-01A","Festucion pseudovinae Soó 1933","Pontic-Pannonian saline steppic pastures on solonetz soils"
"DB01B","FEP-01B","Peucedano officinalis-Asterion sedifolii Borhidi 1996","Pannonian tall-forb rich subsaline meadows on calcareous loess soils"
"DB01C","FEP-01C","Puccinellion limosae Soó 1933","Pannonian hypersaline open grasslands on solonetz soils"
"DB01D","FEP-01D","Puccinellion convolutae Micevski 1965","Macedonian and Northern Aegean relict saline grasslands on edges of inland salt pans"
"DB01E","FEP-01E","Puccinellion lagascanae Rivas-Mart. in Rivas-Mart. et M. Costa 1976 corr. Alonso et De la Torre 2004","Iberian relict saline grasslands on the edges of continental inland salt marshes"
"DB02","FEP-02","Halo-Agropyretalia Ferrari et Speranza 1975","Saline vegetation on heavy clayey soils of badlands of the Apennines, the Balkans and Crimea"
"DB02A","FEP-02A","Halo-Artemision Pignatti 1953","Apennine saline steppic vegetation on heavy clayey badland soils"
"DB02B","FEP-02B","Artemision maritimae Micevski 1970","Macedonian saline steppic vegetation on heavy clayey badland soils"
"DB02C","FEP-02C","Atraphaxo-Capparion Korzhenevskii 1992","Crimean seaside vegetation on heavy clayey badland soils"
"DB03","FEP-03","Artemisio santonicae-Limonietalia gmelinii Golub et V. Solomakha 1988","Saline vegetation on clay-rich solonetz-like and solonetz soils in the steppe and forest-steppe zones of Southern Ukraine and Russia"
"DB03A","FEP-03A","Plantagini salsae-Artemision santonici Lysenko et Mucina in Lysenko et al. 2011","Saline vegetation in depressions and upper alluvial habitats on solonetz-like soils in the steppe and forest-steppe zones of Ukraine and Russia"
"DB03B","FEP-03B","Limonion sareptani Golub 1994","Saline vegetation around lakes in the semi-desert zone of the Lower Volga valley"
"DB03C","FEP-03C","Limonion tomentelli Agafonov et Golub in Golub 1994","Saline vegetation in shallow saline depressions in the forest-steppe and steppe zones of the Don River valley"
"DB03D","FEP-03D","Puccinellion giganteae Dubyna et Neuhäuslová 2000","Saline vegetation on solonchak soils on coastal bars and islands along the Ukrainian Black Sea shores"
"DB03E","FEP-03E","Festuco valesiacae-Limonion gmelinii Mirkin in Golub et V. Solomakha 1988","Saline steppes on solonetz soils in the forest-steppe and steppe zones of the Volga and Ural River valleys"
"DB03F","FEP-03F","Diantho guttati-Milion vernalis Umanets et V. Solomakha 1998","Subsaline dry steppes of the Lower Dnipr River valley"
"DB04","FEP-04","Artemisietalia pauciflorae Golub et Karpov in Golub et al. 2005","Saline desertic steppe vegetation of the semi-desert zone of the northern Caspian seaboards and the Lower Volga valley"
"DB04A","FEP-04A","Artemisio pauciflorae-Camphorosmion monspeliacae Karpov 2001","Saline desertic steppe vegetation of the Northern Caspian region"
"DB04B","FEP-04B","Alhagion pseudalhagi Golub et Czorbadze in Golub 1994","Saline desertic steppe vegetation on slopes and terraces around the inland pans of the Lower Volga River valley"
"DB05","FEP-05","Scorzonero-Juncetalia gerardi Vicherek 1973","Wet subsaline meadows and pastures of the Pannonian and Sarmatian regions of Central and Eastern Europe"
"DB05A","FEP-05A","Juncion gerardi Wendelberger 1943","Wet subsaline regularly inundated meadows and pastures of southeastern Central Europe"
"DB05B","FEP-05B","Beckmannion eruciformis Soó 1933","Wet subsaline regularly inundated meadows on heavy clayey soils of the Pannonian Basin"
"DB05C","FEP-05C","Carici dilutae-Juncion gerardi Lysenko et Mucina 2015","Wet subsaline grasslands in the forest-steppe zone of Southern Ukraine and Russia"
"DB05D","FEP-05D","Agrostio stoloniferae-Beckmannion eruciformis Mirkin in Barabash et al. 1989","Wet subsaline regularly inundated meadows on heavy clayey soils in the steppe and forest-steppe zones of Ukraine and Russia"
"DB05E","FEP-05E","Cirsion esculenti Golub 1994","Wet subsaline pastures in the steppe and forest-steppe zones of Russia, Southern Siberia and Eastern Kazakhstan"
"DB06","FEP-06","Glycyrrhizetalia glabrae Golub et Mirkin in Golub 1995","Moist subsaline alluvial meadows and herbfields in the steppe and semi-desert zones of the Don, Ural and Volga River valleys"
"DB06A","FEP-06A","Glycyrrhizion echinatae Golub et Saveleva in Golub 1995","Moist subsaline alluvial meadows in the steppe zone of the Lower Don River valley"
"DB06B","FEP-06B","Glycyrrhizion korshinskyi Lysenko 2010","Moist subsaline alluvial meadows in the steppe zone of the Volga and Ural River valleys"
"DB06C","FEP-06C","Glycyrrhizion glabrae Golub et Mirkin in Golub 1995","Moist subsaline alluvial meadows in the semi-desert zone of the Lower Volga River valley"
"DC","CRY","Crypsietea aculeatae Vicherek 1973","Pioneer ephemeral dwarf-grass vegetation in periodically flooded saline habitats of submediterranean and (sub)continental Eurasia"
"DC01","CRY-01","Crypsietalia aculeatae Vicherek 1973","Pioneer ephemeral dwarf-grass vegetation in periodically flooded saline habitats of submediterranean and (sub)continental Eurasia"
"DC01A","CRY-01A","Cypero-Spergularion salinae Slavnić 1948","Pioneer ephemeral dwarf-grass vegetation in periodically flooded saline habitats of subcontinental Central and Eastern Europe"
"DC01B","CRY-01B","Heleochloion schoenoidis Br.-Bl. ex Rivas Goday 1956","Pioneer ephemeral dwarf-grass vegetation in periodically flooded saline habitats in the (sub)mediterranean regions of Southern Europe and North Africa"
"DC01C","CRY-01C","Lepidion latifolii Golub et Mirkin in Golub 1995","Pioneer ephemeral dwarf-grass vegetation in periodically flooded saline habitats of continental Eastern Europe"
"EA","LER","Artemisietea lerchianae Golub 1994","Aralo-Caspian semi-desert vegetation"
"EA01","LER-01","Artemisietalia lerchianae Golub 1994","Caspian semi-desert vegetation on subsaline loamy and saline soils"
"EA01A","LER-01A","Artemision lerchianae Golub 1994","Caspian subsaline semi-desert vegetation on loamy soils"
"EA01B","LER-01B","Anabasio aphyllae-Artemisio pauciflorae Lysenko in Lysenko et Mucina 2015","Caspian saline semi-deserts on solonetz soils"
"EA02","LER-02","Artemisietalia tschernievianae Golub 1994","Caspian desert vegetation on stabilised sandy dunes"
"EA02A","LER-02A","Euphorbion seguieranae Golub 1994","Caspian desert vegetation on stabilised sandy dunes"
"EB","TAM","Tamaricetea arceuthoidis Akhani et Mucina 2015","Tamarisk scrub of the semi-desert and desert zones of Central Asia, the Eastern Chinese and Mongolian deserts, Middle East and the Lower Volga River valley"
"EB01","TAM-01","Elaeagno turcomanicae-Tamaricetalia ramossissimae Akhani et Mucina 2015","Tamarisk scrub of the semi-desert and desert zones of Central Asia and the Lower Volga River valley"
"EB01A","TAM-01A","Agropyro fragilis-Tamaricion ramosissimae Golub in Barmin 2001","Tamarisk riparian xero-mesophytic subsaline scrub of the semi-desert Lower Volga River valley"
"EC","KAL","Kalidietea foliati Mirkin et al. ex Rukhlenko 2012","Continental hypersaline scrub on edges of inland saline lakes and the seaboards of Eastern Europe and Central Asia"
"EC01","KAL-01","Kalidietalia foliati Golub et al. 2001","Irano-Turanian desertic perennial chenopod scrub on hypersaline soils"
"EC01A","KAL-01A","Kalidion caspici Golub et al. 2001","Caspian desertic perennial chenopod scrub on hypersaline dry soils"
"EC01B","KAL-01B","Climacoptero crassae-Suaedion acuminatae Golub et Čorbadze 1989 corr. Lysenko et Mucina 2015","Caspian desertic perennial chenopod scrub in wet saline depressions"
"EC02","KAL-02","Halimionetalia verruciferae Golub et al. 2001","Pontic-Sarmatian and Crimean saline grasslands rich in dwarf shrubs on clayey soils in the steppe zone of Romania, Moldova, Ukraine and Russia"
"EC02A","KAL-02A","Artemisio santonicae-Puccinellion fominii Shelyag-Sosonko et al. 1989","Pontic-Sarmatian saline grassland vegetation on solonchak soils of dried saline lakes in the steppe zone of Romania, Moldova, Ukraine and Russia"
"EC02B","KAL-02B","Camphorosmo-Agropyrion desertorum Korzhenevsky et Klyukin ex Golub et al. 2006","Saline grassland vegetation on clay substrates of the dysfunctional mud volcanos of Crimea"
"ED","AEL","Aeluropodetea littoralis Golub et al. 2001","Hypersaline alluvial temporary flooded swards in the semi-desert and desert zones of Central Asia, Middle East and the Ural River valley"
"ED01","AEL-01","Aeluropodetalia littoralis Golub et al. 2001","Hypersaline alluvial temporary flooded swards in the semi-desert and desert zones of Central Asia, Middle East and the Ural River valley"
"ED01A","AEL-01A","Elytrigio-Aeluropodion Ageleulov et Golub in Golub 1995","Hypersaline alluvial temporary flooded swards in the semi-desert zone of the Lower Ural River valley"
"FA","QUI","Quercetea ilicis Br.-Bl. ex A. Bolòs et O. de Bolòs in A. Bolòs y Vayreda 1950","Thermo-mesomediterranean pine and oak forests and associated macchia of the Mediterranean"
"FA01","QUI-01","Quercetalia ilicis Br.-Bl. ex Molinier 1934","Evergreen and semi-deciduous thermo- to supramediterranean oak and relict laurel forests of the Central and Western Mediterranean"
"FA01A","QUI-01A","Quercion ilicis Br.-Bl. ex Molinier 1934","Thermo-supramediterranean mesic evergreen holm oak forests on calcareous substrates of the Western Mediterranean"
"FA01B","QUI-01B","Oleo sylvestris-Quercion rotundifoliae Barbero, Quézel et Rivas-Mart. in Rivas-Mart. et al. 1986 nom. invers. propos.","Thermo-mesomediterranean evergreen oak forests on deep soils of the Iberian Peninsula and North Africa"
"FA01C","QUI-01C","Quercion broteroi Br.-Bl. et al. 1956 corr. Rivas-Mart. 1972","Ibero-Atlantic meso-supramediterranean evergreen and semi-deciduous oak forests"
"FA01D","QUI-01D","Fraxino orni-Quercion ilicis Biondi, Casavecchia et Gigante in Biondi et al. 2013","Evergreen and semideciduous calciphilous holm oak forests of the Central Mediterranean"
"FA01E","QUI-01E","Erico-Quercion ilicis S. Brullo et al. 1977","Evergreen and semideciduous acidophilous holm oak forests of the Central Mediterranean"
"FA01F","QUI-01F","Genisto pilosae-Pinion pinastri Biondi et Vagge 2015","Acidophilous Pinus pinaster forests of the Ligurian and Provencal seaboards"
"FA01G","QUI-01G","Cyclamini cretici-Quercion ilicis Barbero et Quézel in Quézel et al. 1993","Evergreen calcicolous mesic holm oak forests of the Eastern Mediterranean"
"FA01H","QUI-01H","Arbuto andrachnes-Quercion cocciferae Barbero et Quézel 1979","Evergreen calcicolous mesic kermes oak forests of the Eastern Mediterranean"
"FA01I","QUI-01I","Arbuto unedonis-Laurion nobilis Rivas-Mart. et al. 1999","Relict Mediterranean laurel forests"
"FA02","QUI-02","Quercetalia calliprini Zohary 1955","Sclerophyllous oak and conifer forests and associated macchia in the thermo- to supramediterranean belts of the Eastern Mediterranean"
"FA02A","QUI-02A","Quercion calliprini Zohary 1955","Sclerophyllous evergreen Palestine oak forests of the Eastern Mediterranean"
"FA02B","QUI-02B","Aceri sempervirentis-Cupression sempervirentis Barbero et Quézel ex Quézel et al. 1993","Supramediterranean cypress forests of Crete"
"FA02C","QUI-02C","Quercion alnifoliae Barbero et Quézel ex Bergmeier, Mucina et Theurillat in Willner et al. 2015","Mesomediterranean evergreen endemic golden oak forests of Cyprus"
"FA03","QUI-03","Pinetalia halepensis Biondi, Blasi, Galdenzi, Pesaresi et Vagge in Biondi et al. 2014","Thermo-mesomediterranean pine forests of the Central and Eastern Mediterranean"
"FA03A","QUI-03A","Pistacio lentisci-Pinion halepensis Biondi, Blasi, Galdenzi, Pesaresi et Vagge in Biondi et al. 2014","Thermo-mesomediterranean Aleppo pine forests on calcareous substrates of the Central Mediterranean"
"FA03B","QUI-03B","Alkanno baeoticae-Pinion halepensis Mucina et Dimopoulos in Mucina et al. 2009","Thermomediterranean Aleppo pine forests on ultramafic substrates of Euboea and the Hellenic mainland"
"FA03C","QUI-03C","Salvio fruticosae-Pinion brutiae Konstantinidis, Mucina et Bergmeier ined.","Thermo-mesomediterranean Aegean pine forests on calcareous substrates of the Eastern Mediterranean"
"FA03D","QUI-03D","Pinion pineae Feinbrun 1959","Thermomediterranean stone pine forests on leached sandy soils of ancient coastal dunes and inland alluvia of the Central and Eastern Mediterranean"
"FA04","QUI-04","Pistacio lentisci-Rhamnetalia alaterni Rivas-Mart. 1975","Thermo-mesomediterranean low-grown matorral, macchia and garrigue of the Mediterranean Basin"
"FA04A","QUI-04A","Ericion arboreae (Rivas-Mart. ex Rivas-Mart. et al. 1986) Rivas-Mart. 1987","Thermo-mesomediterranean neutrophilous to acidophilous mesic matorral of the Mediterranean Basin"
"FA04B","QUI-04B","Juniperion turbinatae Rivas-Mart. 1975 corr. 1987","Thermomediterranean tall juniper scrub on coastal dune systems of the Western Mediterranean seaboards"
"FA04C","QUI-04C","Asparago albi-Rhamnion oleoidis Rivas Goday ex Rivas-Mart. 1975","Thermomediterranean semiarid sclerophyllous scrub of the southern regions of the Iberian Peninsula"
"FA04D","QUI-04D","Rhamno lycioidis-Quercion cocciferae Rivas Goday ex Rivas-Mart. 1975","Eastern Iberian meso-supramediterranean semiarid oak and low pine matorral"
"FA04E","QUI-04E","Periplocion angustifoliae Rivas-Mart. 1975","Thermomediterranean semiarid deciduous relict low matorral of the coastal regions of southeastern Spain, Sicily and the eastern regions of North Africa"
"FA04F","QUI-04F","Pino pinastri-Juniperion phoeniceae Pérez Latorre et Cabezudo in Pérez Latorre et al. 1998","Betic (Southern Iberian) thermo- to supramediterranean matorral on ultramafic and dolomitic substrates"
"FA04G","QUI-04G","Juniperion lagunae Cano et al. 2007","Thermo- to supramediterranean dry juniper scrub of the Luso-Extremadurean Province of the Central Iberian Peninsula"
"FA04H","QUI-04H","Oleo-Ceratonion siliquae Br.-Bl. ex Guinochet et Drouineau 1944","Thermomediterranean calcicolous macchia of the Liguro-Tyrrhenian seaboards"
"FA04I","QUI-04I","Asparago orientalis-Juniperion macrocarpae (Díez Garretas et Asensi 2014) Mucina in Mucina et al. 2016","Thermomediterranean juniper scrub of the coastal dune systems of the Central and Eastern Mediterranean seaboards"
"FA04J","QUI-04J","Rhamno graecae-Juniperion lyciae M. Costa et al. 1984","Aegeo-Anatolian and Cypriotic low-grown coastal garrigue"
"FA04K","QUI-04K","Phlomido fruticosae-Euphorbion dendroidis Mucina et Dimopoulos in Mucina et al. 2016","Thermomediterranean calcicolous garrigue on steep coastal slopes of the Eastern Mediterranean"
"FA04L","QUI-04L","Ceratonio-Pistacion lentisci Zohary et Orshan 1959","Thermomediterranean sclerophyllous evergreen macchia of the Eastern Mediterranean"
"FA04M","QUI-04M","Pistacio terebinthi-Rhamnion alaterni Barbero et Quézel 1975","Mesomediterranean sclerophyllous garrigue of the Eastern Mediterranean"
"FB","ROS","Ononido-Rosmarinetea Br.-Bl. in A. Bolòs y Vayreda 1950","Mediterranean scrub (tomillar, espleguer, romeral, garrigue, phrygana, batha) on base-rich substrates"
"FB01","ROS-01","Rosmarinetalia officinalis Br.-Bl. ex Molinier 1934","Western Mediterranean thermo-supramediterranean dry-subhumid calcicolous scrub (tomillar, garrigue and matorral)"
"FB01A","ROS-01A","Lavandulo latifoliae-Genistion boissieri Rivas Goday et Rivas-Mart. 1969","Betic (Southern Iberian) meso-supramediterranean calcicolous tomillar and matorral"
"FB01B","ROS-01B","Eryngio trifidi-Ulicion erinacei Rothmaler 1943","Thermo-mesomediterranean calcicolous scrub of the humid-perhumid regions of Southern Portugal and southwestern Spain"
"FB01C","ROS-01C","Ulici densi-Thymion sylvestris (Capelo et al. 1993) J.C. Costa et al. 2009","Thermo-mesomediterranean tomillar on eroded calcareous soils of the subhumid to humid Sadensean-Divinding regions of Portugal"
"FB01D","ROS-01D","Sideritido incanae-Salvion lavandulifoliae (Rivas Goday et Rivas-Mart. 1969) Izco et Molina 1989","Central Iberian continental meso-supramediterranean calcicolous garrigue"
"FB01E","ROS-01E","Helianthemo italici-Aphyllanthion monspeliensis Díez Garretas et al. 1998","Meso-supramediterranean dry-subhumid calciphilous scrub (espleguer and salviar) of the northeastern Iberian Peninsula"
"FB01F","ROS-01F","Rosmarinion officinalis Molinier 1934","Catalonian, Balearic and Provencal thermo- to supramediterranean semiarid to subhumid coastal calciphilous tomillar"
"FB01G","ROS-01G","Hypericion ericoidis Esteve ex M. Costa et Peris 1985","Manchego-Murcian (Iberian Peninsula) thermomediterranean tomillar on calcareous and dolomitic lithosols"
"FB01H","ROS-01H","Hypericion balearici O. de Bolòs et Molinier 1958","Balearic thermo-mesomediterranean garrigue on calcareous and dolomitic lithosol"
"FB01I","ROS-01I","Cisto cretici-Genistion corsicae Arrigoni et Di Tommaso 1991","Cyrno-Sardean thermomediterranean garrigue on deep brown soils and terra rossa"
"FB01J","ROS-01J","Polygalo-Seslerion insularis Arrigoni ex Arrigoni et Di Tommaso 1986","Sardinian mesomediterranean calcicolous garrigue"
"FB02","ROS-02","Erinacetalia anthyllidis Quézel 1953","Oromediterranean and upper supramediterranean hedgehog scrub of the Sierra Nevada (Southern Iberian Peninsula) and the North African Atlas"
"FB02A","ROS-02A","Xeroacantho-Erinaceion (Quézel 1953) O. de Bolòs 1967","Oromediterranean and upper supramediterranean hedgehog scrub of the Sierra Nevada (Southern Iberian Peninsula) and the North African Atlas"
"FB03","ROS-03","Gypsophiletalia Bellot et Rivas Goday in Rivas Goday et al. 1957","Central and Southern Iberian thermo-to supramediterranean gypsicolous tomillar"
"FB03A","ROS-03A","Lepidion subulati Bellot et Rivas Goday in Rivas Goday et al. 1957","Central Iberian and Almerian thermo-to supramediterranean gypsicolous tomillar"
"FB03B","ROS-03B","Thymo-Teucrion verticillati Rivas Goday in Rivas Goday et al. 1957","Alicanto-Murcian (Iberian) thermo-mesomediterranean semiarid gypsicolous tomillar"
"FB04","ROS-04","Anthyllidetalia terniflorae Rivas Goday et al. in Rivas Goday et Borja 1961","Infra-mesomediterranean tomillar on heavy clayey-loamy soils of the arid and semiarid regions of the Southern Iberian Peninsula"
"FB04A","ROS-04A","Thymo-Sideritidion leucanthae O. de Bolòs 1957","Murciano-Almerian (Southern Iberian) infra-thermomediterranean tomillar on calcareous marl substrates"
"FB04B","ROS-04B","Anthyllido terniflorae-Salsolion papillosae Rivas Goday et Esteve 1968","Almerian (Southern Iberian) infra-thermomediterranean tomillar on ultramafic substrates"
"FB04C","ROS-04C","Sideritidion bourgaeanae Peinado et Martínez-Parras in Peinado et al. 1992","Manchego-Murcian (Iberian) thermo-mesomediterranean tomillar on calcareous and dolomitic substrates"
