taxon,evc.taxon
Echinochloa muricata,Echinochloa muricata
Echinocystis lobata,Echinocystis lobata
Echinops exaltatus,Echinops exaltatus
Echinops ritro,Echinops ritro subsp. ritro
Echinops sphaerocephalus,Echinops sphaerocephalus
Echium italicum,Echium italicum
Echium maculatum,
Echium plantagineum,Echium plantagineum
Echium vulgare ssp. vulgare,Echium vulgare subsp. vulgare
Elatine hexandra,Elatine hexandra
Elatine hydropiper,Elatine hydropiper
Elatine triandra,Elatine triandra
Eleagnos angustifolia,
Eleocharis acicularis,Eleocharis acicularis
Eleocharis mamillata ssp. austriaca,Eleocharis mamillata subsp. austriaca
Eleocharis mamillata ssp. mamillata,Eleocharis mamillata subsp. mamillata
Eleocharis ovata,Eleocharis ovata
Eleocharis palustris s.lat.,
Eleocharis palustris ssp. palustris,Eleocharis palustris subsp. palustris
Eleocharis palustris ssp. vulgaris,Eleocharis palustris subsp. waltersii
Eleocharis quinqueflora,Eleocharis quinqueflora
Eleocharis uniglumis,Eleocharis uniglumis
Elodea canadensis,Elodea canadensis
Elodea nuttallii,Elodea nuttalii
Elsholtzia ciliata,
Elymus canadensis,
Elymus caninus,Elymus caninus
Elymus hispidus s.lat.,
Elymus hispidus ssp. barbulatus,
Elymus hispidus ssp. hispidus,Elytrigia intermedia subsp. intermedia
Elytrigia aenaena,
Elytrigia atherica,Elytrigia atherica
Elytrigia intermedia,Elytrigia intermedia subsp. intermedia
Elytrigia laxula,
Elytrigia repens,Elytrigia repens subsp. repens
Empetrum hermaphroditum,Empetrum hermaphroditum
Empetrum nigrum agg.,
Empetrum nigrum s.str.,Empetrum nigrum
Encalypta rhaptocarpa,Encalypta rhaptocarpa
Encalypta streptocarpa,Encalypta streptocarpa
Entodon concinnus,Entodon concinnus
Epilobium alpestre,Epilobium alpestre
Epilobium alsinifolium,Epilobium alsinifolium
Epilobium anagallidifolium,Epilobium anagallidifolium
Epilobium angustifolium,Epilobium angustifolium
Epilobium ciliatum ssp. ciliatum,Epilobium ciliatum subsp. ciliatum
Epilobium collinum,Epilobium collinum
Epilobium dodonaei,Epilobium dodonaei
Epilobium fleischeri,Epilobium fleischeri
Epilobium hirsutum,Epilobium hirsutum
Epilobium lanceolatum,Epilobium lanceolatum
Epilobium montanum,Epilobium montanum
Epilobium nerterioides,
Epilobium nutans,Epilobium nutans
Epilobium obscurum,Epilobium obscurum
Epilobium palustre,Epilobium palustre
Epilobium parviflorum,Epilobium parviflorum
Epilobium roseum,Epilobium roseum
Epilobium tetragonum s.lat.,
Epilobium tetragonum ssp. lamyi,Epilobium tetragonum subsp. lamyi
Epilobium tetragonum ssp. tetragonum,Epilobium tetragonum subsp. tetragonum
Epimedium alpinum,Epimedium alpinum
Epipactis atrorubens,Epipactis atrorubens
Epipactis bugacensis,
Epipactis helleborine s.lat.,
Epipactis helleborine ssp. helleborine,Epipactis helleborine subsp. helleborine
Epipactis helleborine ssp. orbicularis,Epipactis helleborine subsp. orbicularis
Epipactis leptochila ssp. leptochila,Epipactis leptochila subsp. leptochila
Epipactis microphylla,Epipactis microphylla
Epipactis muelleri,Epipactis muelleri
Epipactis palustris,Epipactis palustris
Epipactis purpurata,Epipactis purpurata
Epipogium aphyllum,Epipogium aphyllum
Equisetum arvense,Equisetum arvense subsp. arvense
Equisetum fluviatile,Equisetum fluviatile
Equisetum hyemale,Equisetum hyemale
Equisetum palustre,Equisetum palustre
Equisetum pratense,Equisetum pratense
Equisetum ramosissimum,Equisetum ramosissimum
Equisetum sylvaticum,Equisetum sylvaticum
Equisetum telmateia,Equisetum telmateia
Equisetum variegatum,Equisetum variegatum
Eragrostis albensis,Eragrostis albensis
Eragrostis minor,Eragrostis minor
Eragrostis multicaulis,Eragrostis multicaulis
Eragrostis pilosa,Eragrostis pilosa
Eragrostis trichodes,
Eragrostis virescens,Eragrostis virescens
Eranthis hyemalis,Eranthis hyemalis
Erechtites hieraciifolia,Erechtites hieraciifolius
Erica carnea,Erica carnea
Erica tetralix,Erica tetralix
Erigeron acris s.lat.,
Erigeron acris ssp. acris,Erigeron acris subsp. acris
Erigeron acris ssp. angulosus,Erigeron acris subsp. angulosus
Erigeron acris ssp. macrophyllus,Erigeron acris subsp. droebachiensis
Erigeron acris ssp. serotinus,Erigeron acris subsp. serotinus
Erigeron alpinus s.lat.,
Erigeron alpinus ssp. alpinus,Erigeron alpinus subsp. alpinus
Erigeron alpinus ssp. intermedius,
Erigeron annuus s.lat.,
Erigeron annuus ssp. annuus,Erigeron annuus subsp. annuus
Erigeron annuus ssp. septentrionalis,Erigeron annuus subsp. septentrionalis
Erigeron annuus ssp. strigosus,
Erigeron atticus,Erigeron atticus
Erigeron canadensis,
Erigeron glabratus ssp. candidus,Erigeron glabratus subsp. candidus
Erigeron glabratus ssp. glabratus,Erigeron glabratus subsp. glabratus
Erigeron hungaricus,
Erigeron karvinskianus,Erigeron karwinskianus
Erigeron neglectus,Erigeron neglectus
Erigeron neglectus ssp. alpinus,Erigeron neglectus
Erigeron neglectus ssp. intermedius,Erigeron neglectus
Erigeron polymorphus agg.,
Erigeron schleicheri,Erigeron schleicheri
Erigeron uniflorus,Erigeron uniflorus subsp. uniflorus
Erinus alpinus,Erinus alpinus
Eriophorum angustifolium,Eriophorum angustifolium
Eriophorum gracile,Eriophorum gracile
Eriophorum latifolium,Eriophorum latifolium
Eriophorum scheuchzeri,Eriophorum scheuchzeri
Eriophorum vaginatum,Eriophorum vaginatum
Eritrichium nanum,Eritrichium nanum subsp. nanum
Erodium cicutarium s.str.,Erodium cicutarium subsp. cicutarium
Erodium moschatum,Erodium moschatum
Eruca sativa,
Erucastrum gallicum,Erucastrum gallicum
Erucastrum nasturtiifolium s.str.,Erucastrum nasturtiifolium subsp. nasturtiifolium
Eryngium campestre,Eryngium campestre
Eryngium planum,Eryngium planum
Erysimum andrzejowskianum,Erysimum diffusum
Erysimum canum,Erysimum canum
Erysimum cheiranthoides,Erysimum cheiranthoides
Erysimum cheiri,Erysimum cheiri
Erysimum crepidifolium,
Erysimum diffusum s.lat.,Erysimum diffusum
Erysimum diffusum s.str.,Erysimum diffusum
Erysimum marschallianum,Erysimum marschallianum
Erysimum odoratum,Erysimum odoratum
Erysimum repandum,Erysimum repandum
Erysimum sylvestre s.str.,Erysimum sylvestre subsp. sylvestre
Erysimum virgatum,Erysimum hieraciifolium
Eschscholzia californica,Eschscholzia californica
Eucladium verticillatum,Eucladium verticillatum
Euonymus europaeus,Euonymus europaeus
Euonymus fortunei,
Euonymus latifolius,Euonymus latifolius
Euonymus verrucosus,Euonymus verrucosus
Eupatorium cannabinum,Eupatorium cannabinum
Euphorbia amygdaloides ssp. amygdaloides,Euphorbia amygdaloides
Euphorbia angulata,Euphorbia angulata
Euphorbia austriaca,Euphorbia austriaca
Euphorbia cyparissias,Euphorbia cyparissias
Euphorbia dulcis,Euphorbia dulcis
Euphorbia dulcis ssp. dulcis,Euphorbia dulcis
Euphorbia dulcis ssp. incompta,Euphorbia dulcis
Euphorbia esula s.str.,Euphorbia esula subsp. esula
Euphorbia exigua,Euphorbia exigua
Euphorbia falcata s.str.,Euphorbia falcata
Euphorbia glareosa,Euphorbia nicaeensis
Euphorbia helioscopia,Euphorbia helioscopia
Euphorbia humifusa,Euphorbia humifusa
Euphorbia lathyris,Euphorbia lathyris
Euphorbia maculata,Euphorbia maculata
Euphorbia marginata,
Euphorbia myrsinites,Euphorbia myrsinites
Euphorbia nutans,Euphorbia nutans
Euphorbia palustris,Euphorbia palustris
Euphorbia peplus s.str.,Euphorbia peplus var. peplus
Euphorbia pithyusa,Euphorbia pithyusa
Euphorbia platyphyllos,Euphorbia platyphyllos
Euphorbia polychroma,Euphorbia polychroma
Euphorbia prostrata,Euphorbia prostrata
Euphorbia salicifolia,Euphorbia salicifolia
Euphorbia saratoi,
Euphorbia saxatilis,Euphorbia saxatilis
Euphorbia segetalis,Euphorbia segetalis
Euphorbia seguieriana,Euphorbia seguieriana subsp. seguieriana
Euphorbia stricta,Euphorbia stricta
Euphorbia taurinensis,Euphorbia taurinensis
Euphorbia verrucosa,Euphorbia verrucosa
Euphorbia villosa s.str.,Euphorbia illirica
Euphorbia virgata,
Euphrasia cuspidata,Euphrasia cuspidata
Euphrasia kerneri,Euphrasia kerneri
Euphrasia micrantha,Euphrasia micrantha
Euphrasia minima s.str.,Euphrasia minima subsp. minima
Euphrasia nemorosa agg.,
Euphrasia nemorosa s.str.,Euphrasia nemorosa
Euphrasia officinalis s.lat.,
Euphrasia officinalis ssp. picta,Euphrasia picta
Euphrasia officinalis ssp. rostkoviana,Euphrasia rostkoviana subsp. rostkoviana
Euphrasia salisburgensis s.str.,Euphrasia salisburgensis
Euphrasia stricta s.str.,Euphrasia stricta
Euphrasia tricuspidata ssp. tricuspidata,Euphrasia tricuspidata
Euthamia graminifolia,Euthamia graminifolia
Fagopyrum esculentum,Fagopyrum esculentum
Fagopyrum tataricum,Fagopyrum tataricum
Fagus sylvatica,Fagus sylvatica subsp. sylvatica
Fagus sylvatica fo. Atropurpurea,
Falcaria vulgaris,Falcaria vulgaris
Fallopia convolvulus,Fallopia convolvulus
Fallopia dumetorum,Fallopia dumetorum
Fallopia japonica,Fallopia japonica
Fallopia sachalinensis,Fallopia sachalinensis
Festuca alpina,Festuca alpina subsp. alpina
Festuca altissima,Drymochloa sylvatica
Festuca amethystina ssp. amethystina,Festuca amethystina
Festuca apennina,Schedonorus pratensis subsp. apenninus
Festuca arundinacea s.lat.,
Festuca arundinacea ssp. arundinacea,Schedonorus arundinaceus subsp. arundinaceus
Festuca arundinacea ssp. uechtritziana,
Festuca brevipila s.lat.,Festuca brevipila
Festuca calva,Festuca calva
Festuca cinerea,Festuca cinerea
Festuca drymeia,Drymochloa drymeja subsp. drymeja
Festuca filiformis,Festuca filiformis
Festuca gigantea,Schedonorus giganteus
Festuca guestfalica,Festuca ovina subsp. guestfalica
Festuca halleri,Festuca halleri
Festuca halleri agg.,
Festuca heteromalla,Festuca heteromalla
Festuca heterophylla,Festuca heterophylla
Festuca intercedens,Festuca intercedens
Festuca laxa,Leucopoa laxa
Festuca nigrescens,Festuca nigrescens
Festuca nigricans,Festuca melanopsis
Festuca norica,Festuca norica
Festuca ovina agg.,
Festuca ovina s.str.,Festuca ovina subsp. ovina
Festuca pallens,Festuca pallens
Festuca paniculata,Patzkea paniculata subsp. paniculata
Festuca picturata,Festuca picturata
Festuca pratensis agg.,
Festuca pratensis s.str.,Schedonorus pratensis subsp. pratensis
Festuca pseudodura,Festuca pseudodura
Festuca pseudovina,
Festuca pulchella s.lat.,
Festuca pulchella ssp. jurana,Leucopoa pulchella subsp. jurana
Festuca pulchella ssp. pulchella,Leucopoa pulchella subsp. pulchella
Festuca pumila,Festuca quadriflora
Festuca rubra,Festuca rubra subsp. rubra
Festuca rubra agg.,
Festuca rubra s.lat.,
Festuca rubra ssp. juncea,Festuca rubra subsp. juncea
Festuca rubra ssp. rubra,Festuca rubra subsp. rubra
Festuca rupicaprina,Festuca rupicaprina
Festuca rupicola,Festuca rupicola
Festuca stenantha,Festuca stenantha
Festuca stricta s.lat.,
Festuca stricta ssp. stricta,Festuca stricta subsp. stricta
Festuca stricta ssp. sulcata,Festuca rupicola
Festuca stricta ssp. trachyphylla,Festuca brevipila
Festuca supina,Festuca ovina subsp. supina
Festuca trichophylla,Festuca trichophylla subsp. trichophylla
Festuca vaginata,Festuca vaginata
Festuca valesiaca,Festuca valesiaca subsp. valesiaca
Festuca valesiaca s.str.,Festuca valesiaca subsp. valesiaca
Festuca varia,Festuca varia
Festuca varia s.lat,Festuca varia
Festuca versicolor ssp. brachystachys,Festuca versicolor subsp. brachystachys
Festuca versicolor ssp. pallidula,Festuca versicolor subsp. pallidula
Festuca vivipara,Festuca vivipara
Ficaria calthifolia,Ficaria calthifolia
Ficaria verna ssp. verna,Ficaria verna
Ficus carica,Ficus carica
Filago arvensis,Filago arvensis
Filago lutescens,Filago lutescens
Filago minima,Filago minima
Filago vulgaris s.str.,Filago germanica
Filipendula ulmaria,Filipendula ulmaria
Filipendula ulmaria s.lat.,Filipendula ulmaria
Filipendula ulmaria ssp. ulmaria,Filipendula ulmaria
Filipendula vulgaris,Filipendula vulgaris
Fissidens adianthoides,Fissidens adianthoides
Fissidens dubius,Fissidens dubius
Fissidens osmundoides,Fissidens osmundoides
Flavocetraria cucullata,Flavocetraria cucullata
Flavocetraria nivalis,Flavocetraria nivalis
Foeniculum vulgare,Foeniculum vulgare
Forsythia suspensa,
Fourraea alpina,Fourraea alpina
Fragaria moschata,Fragaria moschata
Fragaria vesca,Fragaria vesca
Fragaria virginiana,
Fragaria viridis ssp. viridis,Fragaria viridis
Frangula alnus,Frangula alnus subsp. alnus
Fraxinus excelsior,Fraxinus excelsior subsp. excelsior
Fraxinus ornus,Fraxinus ornus
Fraxinus pennsylvanica,
Fritillaria meleagris,Fritillaria meleagris
Frullania tamarisci,Frullania tamarisci
Fumana procumbens,Fumana procumbens
Fumaria capreolata,Fumaria capreolata
Fumaria officinalis s.lat.,
Fumaria officinalis ssp. officinalis,Fumaria officinalis subsp. officinalis
Fumaria officinalis ssp. wirtgenii,Fumaria officinalis subsp. wirtgenii
Fumaria parviflora,Fumaria parviflora
Fumaria schleicheri,Fumaria schleicheri
Fumaria vaillantii,Fumaria vaillantii
Gagea bohemica s.lat.,
Gagea bohemica ssp. bohemica,Gagea bohemica subsp. bohemica
Gagea bohemica ssp. saxatilis,Gagea bohemica subsp. saxatilis
Gagea liotardii,Gagea liotardii
Gagea lutea,Gagea lutea
Gagea minima,Gagea minima
Gagea pratensis,Gagea pratensis
Gagea pusilla,Gagea pusilla
Gagea villosa,Gagea villosa
Galanthus nivalis,Galanthus nivalis
Galatella linosyris,Galatella linosyris subsp. linosyris
Galega officinalis,Galega officinalis
Galeobdolon argentatum,Galeobdolon argentatum
Galeobdolon flavidum,Galeobdolon flavidum
Galeobdolon luteum agg.,
Galeobdolon luteum s.str.,Galeobdolon luteum
Galeobdolon montanum,Galeobdolon montanum
Galeopsis angustifolia,Galeopsis angustifolia subsp. angustifolia
Galeopsis bifida,Galeopsis bifida
Galeopsis ladanum s.str.,Galeopsis ladanum
Galeopsis pubescens ssp. pubescens,Galeopsis pubescens subsp. pubescens
Galeopsis segetum,Galeopsis segetum
Galeopsis speciosa,Galeopsis speciosa
Galeopsis tetrahit s.str.,Galeopsis tetrahit
Galinsoga ciliata,Galinsoga quadriradiata
Galinsoga parviflora,Galinsoga parviflora
Galium album s.lat.,
Galium album s.str.,Galium album subsp. album
Galium anisophyllon,Galium anisophyllon
Galium aparine s.str.,Galium aparine
Galium aristatum,Galium aristatum
Galium austriacum,Galium austriacum
Galium boreale s.str.,Galium boreale
Galium elongatum,Galium elongatum
Galium glaucum s.str.,Galium glaucum
Galium lucidum,Galium lucidum subsp. lucidum
Galium megalospermum,Galium megalospermum
Galium meliodorum,Galium meliodorum
Galium mollugo agg.,
Galium mollugo s.str.,Galium mollugo
Galium noricum,Galium noricum
Galium odoratum,Galium odoratum
Galium palustre s.lat.,Galium palustre
Galium palustre ssp. palustre,Galium palustre
Galium palustre ssp. tetraploideum,Galium palustre
Galium parisiense,Galium parisiense
Galium pumilum,Galium pumilum subsp. pumilum
Galium pusillum agg.,
Galium pycnotrichum,Galium album subsp. pycnotrichum
Galium rivale,Galium rivulare
Galium rotundifolium,Galium rotundifolium
Galium rubrum,Galium rubrum
Galium saxatile,Galium saxatile subsp. saxatile
Galium spurium,Galium spurium subsp. spurium
Galium sudeticum,
Galium sylvaticum agg.,
Galium sylvaticum s.str.,Galium sylvaticum
Galium tricornutum,Galium tricornutum
Galium truniacum,Galium truniacum
Galium uliginosum,Galium uliginosum
Galium valdepilosum,Galium valdepilosum
Galium verrucosum,Galium verrucosum
Galium verum s.str.,Galium verum subsp. verum
Galium wirtgenii,Galium verum subsp. wirtgenii
Genista anglica,Genista anglica
Genista germanica,Genista germanica
Genista pilosa,Genista pilosa subsp. pilosa
Genista sagittalis,Genista sagittalis subsp. sagittalis
Genista tinctoria,Genista tinctoria subsp. tinctoria
Gentiana acaulis,Gentiana acaulis
Gentiana asclepiadea,Gentiana asclepiadea
Gentiana bavarica s.str.,Gentiana bavarica
Gentiana bavarica var. subacaulis,Gentiana bavarica
Gentiana brachyphylla,Gentiana brachyphylla subsp. brachyphylla
Gentiana clusii ssp. clusii,Gentiana clusii subsp. clusii
Gentiana cruciata,Gentiana cruciata
Gentiana froelichii ssp. froelichii,Gentiana froelichii subsp. froelichii
Gentiana froelichii ssp. zenariae,Gentiana froelichii subsp. zenariae
Gentiana lutea,Gentiana lutea subsp. lutea
Gentiana nivalis,Gentiana nivalis
Gentiana orbicularis,Gentiana orbicularis
Gentiana pannonica,Gentiana pannonica
Gentiana pneumonanthe,Gentiana pneumonanthe
Gentiana prostrata,Gentiana prostrata
Gentiana pumila,Gentiana pumila subsp. pumila
Gentiana punctata,Gentiana punctata
Gentiana terglouensis,Gentiana terglouensis subsp. terglouensis
Gentiana utriculosa,Gentiana utriculosa
Gentiana verna ssp. verna,Gentiana verna subsp. verna
Gentianella amarella,Gentianella amarella
Gentianella anisodonta,Gentianella anisodonta
Gentianella aspera,Gentianella aspera
Gentianella austriaca,Gentianella austriaca
Gentianella campestris,Gentianella campestris subsp. campestris
Gentianella germanica agg.,
Gentianella lutescens ssp. tatrae,Gentianella lutescens
Gentianella pilosa,Gentianella pilosa
Gentianella praecox ssp. bohemica,
Gentianella rhaetica,
Gentianopsis ciliata,Gentianopsis ciliata
Geranium columbinum,Geranium columbinum
Geranium dissectum,Geranium dissectum
Geranium lucidum,Geranium lucidum
Geranium macrorrhizum,Geranium macrorrhizum
Geranium molle s.str.,Geranium molle
Geranium palustre,Geranium palustre
Geranium phaeum s.lat.,
Geranium phaeum ssp. lividum,Geranium phaeum subsp. lividum
Geranium phaeum ssp. phaeum,Geranium phaeum subsp. phaeum
Geranium pratense,Geranium pratense
Geranium purpureum,Geranium purpureum
Geranium pusillum,Geranium pusillum
Geranium pyrenaicum,Geranium pyrenaicum
Geranium robertianum s.str.,Geranium robertianum
Geranium rotundifolium,Geranium rotundifolium
Geranium sanguineum,Geranium sanguineum
Geranium sibiricum,Geranium sibiricum
Geranium sylvaticum,Geranium sylvaticum
Geum montanum,Geum montanum
Geum reptans,Geum reptans
Geum rivale,Geum rivale
Geum urbanum,Geum urbanum
Gladiolus imbricatus,Gladiolus imbricatus
Gladiolus palustris,Gladiolus palustris
Gladiolus-Hybriden,
Glaucium flavum,Glaucium flavum
Glebionis coronaria,
Glebionis segetum,Glebionis segetum
Glechoma hederacea,Glechoma hederacea
Glechoma hederacea agg.,
Glechoma hirsuta,Glechoma hirsuta
Globularia bisnagarica,Globularia bisnagarica
Globularia cordifolia s.str.,Globularia cordifolia
Globularia nudicaulis,Globularia nudicaulis
Glyceria declinata,Glyceria declinata
Glyceria fluitans,Glyceria fluitans
Glyceria maxima,Glyceria maxima
Glyceria notata,Glyceria notata
Glyceria striata,Glyceria striata
Glycine max,
Gnaphalium hoppeanum,Gnaphalium hoppeanum
Gnaphalium norvegicum,Gnaphalium norvegicum
Gnaphalium supinum,Gnaphalium supinum
Gnaphalium sylvaticum,Gnaphalium sylvaticum
Gnaphalium uliginosum,Gnaphalium uliginosum
Goodyera repens,Goodyera repens
Gratiola officinalis,Gratiola officinalis
Groenlandia densa,Groenlandia densa
Guizotia abyssinica,Guizotia abyssinica
Gymnadenia conopsea s.lat.,
Gymnadenia conopsea ssp. conopsea,Gymnadenia conopsea subsp. conopsea
Gymnadenia conopsea ssp. densiflora,Gymnadenia conopsea subsp. densiflora
Gymnadenia odoratissima,Gymnadenia odoratissima
Gymnocarpium dryopteris,Gymnocarpium dryopteris
Gymnocarpium robertianum,Gymnocarpium robertianum
Gymnocolea inflata var. inflata,Gymnocolea inflata
Gypsophila acutifolia,
Gypsophila elegans,Gypsophila elegans
Gypsophila muralis,Gypsophila muralis
Gypsophila repens,Gypsophila repens
Hackelia deflexa,Lappula deflexa
Hacquetia epipactis,
Hedera helix,Hedera helix subsp. helix
Hedysarum hedysaroides ssp. hedysaroides,Hedysarum hedysaroides subsp. hedysaroides
Helianthemum alpestre,Helianthemum alpestre
Helianthemum canum,Helianthemum canum subsp. canum
Helianthemum nummularium s.lat.,
Helianthemum nummularium ssp. glabrum,Helianthemum nummularium subsp. glabrum
Helianthemum nummularium ssp. grandiflorum,Helianthemum nummularium subsp. grandiflorum
Helianthemum nummularium ssp. nummularium,Helianthemum nummularium subsp. nummularium
Helianthemum nummularium ssp. obscurum,Helianthemum nummularium subsp. ovatum
Helianthus annuus,Helianthus annuus
Helianthus mollis,
Helianthus pauciflorus,Helianthus pauciflorus
Helianthus tuberosus s.lat.,Helianthus tuberosus
Helichrysum arenarium,Helichrysum arenarium
Helictotrichon parlatorei,Helictotrichon parlatorei
Heliopsis helianthoides var. scabra,
Heliosperma alpestre,Heliosperma alpestre
Heliosperma pusillum ssp. pudibundum,Heliosperma pusillum subsp. pudibundum
Heliosperma pusillum ssp. pusillum,Heliosperma pusillum subsp. pusillum
Heliotropium europaeum,Heliotropium europaeum
Helleborus dumetorum,Helleborus dumetorum subsp. atrorubens
Helleborus foetidus,Helleborus foetidus
Helleborus niger,Helleborus niger subsp. niger
Helleborus orientalis,
Helleborus viridis,Helleborus viridis subsp. viridis
Helminthotheca echioides,Helminthotheca echoides
Helosciadium repens,Helosciadium repens
Hemerocallis fulva,
Hemerocallis lilioasphodelus,Hemerocallis lilioasphodelus
Hepatica nobilis,Hepatica nobilis
Heracleum austriacum ssp. austriacum,Heracleum austriacum subsp. austriacum
Heracleum mantegazzianum,Heracleum mantegazzianum
Heracleum sphondylium s.lat.,
Heracleum sphondylium ssp. elegans,Heracleum sphondylium subsp. elegans
Heracleum sphondylium ssp. glabrum,Heracleum sphondylium subsp. alpinum
Heracleum sphondylium ssp. pyrenaicum,Heracleum sphondylium subsp. pyrenaicum
Heracleum sphondylium ssp. sphondylium,Heracleum sphondylium subsp. sphondylium
Herminium monorchis,Herminium monorchis
Herniaria glabra,Herniaria glabra subsp. glabra
Herniaria hirsuta,Herniaria hirsuta
Hesperis matronalis ssp. matronalis,Hesperis matronalis subsp. matronalis
Hesperis tristis,Hesperis tristis
Hibiscus syriacus,
Hibiscus trionum,Hibiscus trionum
Hieracium alpinum,Hieracium alpinum
Hieracium amplexicaule,Hieracium amplexicaule
Hieracium angustifolium,
Hieracium apricorum,
Hieracium aridum,
Hieracium arolae,
Hieracium arvicola,
Hieracium atratum,
Hieracium aurantiacum,
Hieracium bauhini,
Hieracium benzianum,
Hieracium bifidum,Hieracium bifidum
Hieracium bocconei,
Hieracium brachiatum,
Hieracium brevifolium,
Hieracium bupleuroides,Hieracium bupleuroides
Hieracium caesium,Hieracium caesium
Hieracium caespitosum,
Hieracium calomastix,
Hieracium chlorifolium,
Hieracium chondrillifolium,
Hieracium cochleatum,
Hieracium cottetii,
Hieracium cydoniifolium,
Hieracium cymosum,
Hieracium densiflorum,
Hieracium dentatum,
Hieracium diaphanoides,
Hieracium dollineri,
Hieracium dubium,
Hieracium echioides,
Hieracium euchaetium,
Hieracium fallacinum,
Hieracium flagellare,
Hieracium flagelliferum,
Hieracium floribundum,
Hieracium fuscum,
Hieracium glabratum,
Hieracium glanduliferum,
Hieracium glaucinum,Hieracium glaucinum
Hieracium glaucum,Hieracium glaucum
Hieracium glomeratum,
Hieracium hoppeanum,
Hieracium humile,Hieracium humile
Hieracium intybaceum,
Hieracium inuloides,
Hieracium juratzkae,
Hieracium kalksburgense,
Hieracium koernickeanum,
Hieracium lachenalii,Hieracium lachenalii
Hieracium lactucella,Pilosella lactucella subsp. lactucella
Hieracium laevigatum,Hieracium laevigatum
Hieracium leptophyton,
Hieracium levicaule,
Hieracium longiscapum,
Hieracium macilentum,
Hieracium macrostolonum,
Hieracium maculatum,Hieracium maculatum
Hieracium murorum,Hieracium murorum
Hieracium neoplatyphyllum,
Hieracium nigrescens,
Hieracium norrliniiforme,
Hieracium obscuratum,
Hieracium oligodon,
Hieracium oxyodon,
Hieracium pallescens,
Hieracium panteblaston,
Hieracium pilosella,Pilosella officinarum subsp. officinarum
Hieracium pilosella agg.,
Hieracium piloselliflorum,
Hieracium pilosellinum,
Hieracium piloselloides agg.,
Hieracium piloselloides s.str.,Pilosella piloselloides
Hieracium pilosum,Hieracium pilosum
Hieracium polymastix,
Hieracium porrectum,
Hieracium porrifolium,Hieracium porrifolium
Hieracium praealtum,
Hieracium praecurrens,
Hieracium prediliense,
Hieracium prenanthoides,
Hieracium racemosum,
Hieracium ramosum,
Hieracium rohacsense,
Hieracium rubrum,
Hieracium sabaudum,Hieracium sabaudum
Hieracium saxatile,
Hieracium scandinavicum,
Hieracium schmidtii ssp. comatulum,
Hieracium schultesii,
Hieracium sciadophorum,
Hieracium scorzonerifolium,
Hieracium sparsiramum,
Hieracium sphaerocephalum,
Hieracium spurium,
Hieracium stoloniflorum,
Hieracium sulphureum,
Hieracium tendinum,
Hieracium tephropogon,
Hieracium umbellatum,Hieracium umbellatum
Hieracium umbrosum,
Hieracium valdepilosum,
Hieracium vasconicum,
Hieracium villosum,Hieracium villosum
Hieracium visianii,
Hieracium wiesbaurianum,
Hieracium zizianum,
Hierochloë australis,Hierochloe australis
Hierochloë odorata,
Himantoglossum hircinum agg.,
Hippocrepis comosa,Hippocrepis comosa
Hippocrepis emerus ssp. emerus,Hippocrepis emerus subsp. emerus
Hippophaë rhamnoides s.lat.,
Hippophaë rhamnoides ssp. fluviatilis,Hippophae rhamnoides subsp. fluviatilis
Hippophaë rhamnoides ssp. rhamnoides,Hippophae rhamnoides subsp. rhamnoides
Hippuris vulgaris,Hippuris vulgaris
Hirschfeldia incana,
Holcus lanatus,Holcus lanatus
Holcus mollis,Holcus mollis subsp. mollis
Holosteum umbellatum ssp. umbellatum,Holosteum umbellatum subsp. umbellatum
Homalothecium lutescens,Homalothecium lutescens
Homalothecium sericeum,Homalothecium sericeum
Homalotrichon pubescens s.lat.,
Homalotrichon pubescens ssp. laevigatum,Avenula pubescens subsp. laevigata
Homalotrichon pubescens ssp. pubescens,Avenula pubescens subsp. pubescens
Homogyne alpina,Homogyne alpina
Homogyne discolor,Homogyne discolor
Homogyne sylvestris,Homogyne sylvestris
Honorius boucheanus,Ornithogalum boucheanum
Honorius nutans s.str.,Ornithogalum nutans
Hordelymus europaeus,Hordelymus europaeus
Hordeum distichon,
Hordeum jubatum,Hordeum jubatum
Hordeum murinum ssp. murinum,Hordeum murinum subsp. murinum
Hordeum secalinum,Hordeum secalinum
Hordeum vulgare s.str.,
Horminum pyrenaicum,Horminum pyrenaicum
Hornungia alpina s.lat.,
Hornungia alpina ssp. alpina,Hornungia alpina subsp. alpina
Hornungia alpina ssp. brevicaulis,Hornungia alpina subsp. brevicaulis
Hornungia petraea,Hornungia petraea
Hosta cv. fortunei,
Hosta lancifolia,
Hottonia palustris,Hottonia palustris
Houttuynia cordata,
Humulus lupulus,Humulus lupulus
Humulus scandens,
Huperzia selago ssp. selago,Huperzia selago subsp. selago
Hyacinthus orientalis,
Hydrangea macrophylla,
Hydrocharis morsus-ranae,Hydrocharis morsus-ranae
Hygrohypnum luridum,Hygrohypnum luridum
Hylocomium splendens,Hylocomium splendens
Hylotelephium jullianaum,
Hylotelephium maximum,
Hylotelephium spectabile,
Hylotelephium telephium s.str.,Hylotelephium telephium subsp. telephium
Hymenostylium recurvirostrum var. recurvirostrum,Hymenostylium recurvirostrum
Hyoscyamus niger,Hyoscyamus niger
Hypericum dubium,Hypericum dubium
Hypericum elodes,Hypericum elodes
Hypericum hirsutum,Hypericum hirsutum
Hypericum humifusum,Hypericum humifusum
