"","id","taxon","l","t","k","f","r","n"
"471","2118.","Cardamine amara","7","x","4","9","6","4"
"472","2121.","Cardamine flexuosa","6","5","2","8","4","5"
"473","2122.","Cardamine hirsuta","6","6","3","5","5","7"
"474","2123.","Cardamine impatiens","5","x","4","6","7","8"
"475","2125.","Cardamine parviflora","8","6","5","7","7","6"
"476","2126.","Cardamine pratensis agg.","","","","","",""
"477","2124.","Cardamine matthioli","7","4","?","9","3","2"
"478","0","Cardamine pratensis ssp. palustris","6","6","x","9","7","4"
"479","2127.","Cardamine pratensis �sp. pratensis","4","x","x","6","x","x"
"480","2129.","Cardamine pratensis ssp. rivularis","8","3","5","9","5","1"
"481","2128.","Cardamine resedifolia","8","2","2","5","3","2"
"482","2130.","Cardamine trifolia","3","4","4","6","8","7"
"483","2136.","Cardaminopsis arenosa","9","x","4","4","6","2"
"484","2137.","Cardaminopsis halleri","8","4","4","6","3","x"
"485","2138.","Cardaminopsis petraea","9","2","2","3","8","1"
"486","2145.","Cardaria draba","8","7","7","3","8","4"
"487","2147.","Carduus acanthoides","9","5","6","4","8","7"
"488","2151.","Carduus crassifolius","7","5","6","4","9","4"
"489","2154.","Carduus crispus","7","6","x","6","7","9"
"490","2157.","Carduus defloratus","7","x","4","4","8","4"
"491","2161.","Carduus nutans","8","6","5","4","8","6"
"492","2162.","Carduus personata","7","4","2","8","8","8"
"493","2168.","Carex acutiformis","7","x","3","9","7","5"
"494","2169.","Carex alba","5","5","7","4","8","2"
"495","2170.","Carex appropinquata","8","5","5","9","9","4"
"496","0","Carex aquatilis","9","6","5","9","7","4"
"497","0","Carex arenaria","7","6","2","3","2","2"
"498","0","Carex atherodes","8","6","8","9","7","5"
"499","2171.","Carex aterrima","9","2","3","7","7","3"
"500","2173.","Carex atrata","9","2","3","5","6","2"
"501","2265.","Carex atrata parviflora","9","2","3","7","8","4"
"502","2175.","Carex baldensis","8","3","5","4","8","3"
"503","2179.","Carex bigelowii","8","3","3","5","1","3"
"504","0","Carex binervis","7","5","1","7","1","1"
"505","2182.","Carex brachystachys","5","2","2","7","9","2"
"506","2181.","Carex bohemica","9","6","5","8","6","4"
"507","2184.","Carex brizoides","6","5","4","6","4","3"
"508","2188.","Carex buekii","8","6","6","8","8","6"
"509","2190.","Carex buxbaumii","8","6","5","8","7","2"
"510","2230.","Carex hartmanii","7","6","6","7","x","2"
"511","2185.","Carex brunnescens","9","2","?","9","3","1"
"512","2192.","Carex canescens","7","4","x","9","4","2"
"513","2193.","Carex capillaris","8","1","?","8","8","2"
"514","2194.","Carex capitata","9","4","7","8","7","1"
"515","2195.","Carex caryophyllea","8","x","3","4","x","2"
"516","2196.","Carex cespitosa","6","6","7","9","6","4"
"517","2198.","Carex chordorrhiza","9","5","7","9","4","3"
"518","2200.","Carex curvula","9","1","5","4","2","1"
"519","2203.","Carex davalliana","9","4","4","9","8","2"
"520","0","Carex depauperata","4","7","2","4","7","4"
"521","2205.","Carex diandra","8","6","7","9","6","3"
"522","2206.","Carex digitata","3","x","4","5","x","4"
"523","2207.","Carex dioica","9","4","x","9","x","2"
"524","2208.","Carex distans","9","6","3","6","8","x"
"525","2209.","Carex disticha","8","6","x","9","8","5"
"526","2212.","Carex echinata","8","x","3","8","3","2"
"527","2213.","Carex elata","8","x","2","10","x","5"
"528","2216.","Carex elongata","4","6","3","9","7","6"
"529","2217.","Carex ericetorum","5","5","7","4","x","2"
"530","0","Carex extensa","9","6","3","7","x","4"
"531","2218.","Carex ferruginea","8","2","4","5","8","4"
"532","2219.","Carex firma","9","2","4","4","9","2"
"533","2220.","Carex flacca","7","x","3","6","8","4"
"534","2223.","Carex flava","8","x","2","9","8","2"
"535","2239.","Carex lepidocarpa","9","5","2","9","9","2"
"536","2296.","Carex oederi","8","x","3","9","x","2"
"537","0","Carex scandinavica","9","6","3","7","7","5"
"538","2204.","Carex demissa","8","x","1","9","4","2"
"539","2224.","Carex foetida","8","2","4","7","4","5"
"540","2225.","Carex frigida","9","2","2","8","8","2"
"541","2226.","Carex fritschii","6","7","4","4","5","4"
"542","2227.","Carex fuliginosa","9","1","5","7","2","1"
"543","2167.","Carex acuta","7","5","7","9","6","4"
"544","2229.","Carex hallerana","6","8","2","3","8","3"
"545","2231.","Carex heleonastes","8","5","7","9","4","3"
"546","2232.","Carex hirta","7","6","3","6","x","5"
"547","2233.","Carex hordeistichos","9","7","6","7","7","5"
"548","2234.","Carex hostiana","8","5","2","9","6","2"
"549","2235.","Carex humilis","7","6","5","2","8","3"
"550","0","Carex juncifolia (maritima)","9","1","3","9","x","2"
"551","0","Carex laevigata","4","5","1","9","5","5"
"552","2237.","Carex lasiocarpa","9","4","x","9","4","3"
"553","2241.","Carex ovalis","7","x","3","7","3","3"
"554","0","Carex ligerica","9","6","5","3","2","2"
"555","2242.","Carex limosa","9","4","x","9","2","2"
"556","2246.","Carex michelii","7","6","5","3","6","3"
"557","2247.","Carex microglochin","9","3","3","9","8","2"
"558","2248.","Carex montana","5","x","4","4","6","3"
"559","2249.","Carex mucronata","9","3","4","3","9","1"
"560","2211.","Carex divulsa","6","6","3","5","5","6"
"561","2251.","Carex muricata","7","6","3","4","x","6"
"562","2286.","Carex contigua","7","5","3","4","6","4"
"563","2254.","Carex nigra","8","x","3","8","3","2"
"564","2256.","Carex norvegica","8","4","4","9","4","2"
"565","2258.","Carex ornithopoda","6","x","4","3","9","3"
"566","2259.","Carex ornithopodoides","8","1","?","6","9","3"
"567","2262.","Carex pallescens","7","4","3","6","4","3"
"568","2263.","Carex panicea","8","x","3","8","x","4"
"569","2264.","Carex paniculata","7","x","3","9","6","4"
"570","2266.","Carex pauciflora","9","3","5","9","1","1"
"571","2267.","Carex paupercula (ssp. irrigua)","8","3","x","9","3","2"
"572","2270.","Carex pendula","5","5","2","8","6","6"
"573","2271.","Carex pilosa","4","6","5","5","5","5"
"574","2272.","Carex pilulifera","5","x","2","5","3","3"
"575","2273.","Carex praecox agg.","9","6","6","3","x","4"
"576","2302.","Carex pseudobrizoides","6","6","4","7","2","2"
"577","2275.","Carex pseudocyperus","7","6","3","9","6","5"
"578","2276.","Carex pulicaris","8","4","2","9","4","2"
"579","2277.","Carex punctata","9","6","1","7","7","3"
"580","2279.","Carex remota","3","5","3","8","x","x"
"581","2281.","Carex riparia","7","6","3","9","7","4"
"582","2282.","Carex rostrata","9","x","x","10","3","3"
"583","2283.","Carex rupestris","9","2","7","4","6","2"
"584","2284.","Carex secalina","8","6","8","7","?","?"
"585","2285.","Carex sempervirens","7","x","2","4","7","3"
"586","2288.","Carex strigosa","3","6","1","7","7","6"
"587","2289.","Carex supina","7","7","7","2","7","2"
"588","2290.","Carex sylvatica","2","5","3","5","6","5"
"589","2291.","Carex tomentosa","7","6","5","7","9","x"
"590","0","Carex trinervis","9","6","1","9","3","2"
"591","2293.","Carex umbrosa","4","x","4","5","6","4"
"592","2294.","Carex vaginata","8","3","6","9","x","2"
"593","2295.","Carex vesicaria","7","4","x","9","6","5"
"594","2260.","Carex otrubae","6","6","2","8","7","6"
"595","2298.","Carex vulpina","9","6","5","8","x","5"
"596","2306.","Carlina acaulis ssp. simplex","9","x","4","4","x","2"
"597","2305.","Carlina acaulis ssp. acaulis","9","4","5","4","3","2"
"598","2311.","Carlina vulgaris","7","5","3","4","7","3"
"599","2307.","Carlina biebersteinii","7","3","4","4","7","3"
"600","2313.","Carpesium cernuum","5","6","4","5","7","7"
"601","2315.","Carpinus betulus","4","6","4","x","x","x"
"602","2321.","Carum carvi","8","4","5","5","x","6"
"603","0","Carum verticillatum","7","7","1","8","4","3"
"604","2323.","Castanea sativa","5","8","2","x","4","x"
"605","2325.","Catabrosa aquatica","8","5","5","9","7","8"
"606","2329.","Catapodium rigidum","9","6","3","2","7","1"
"607","2372.","Caucalis platycarpos","6","6","5","4","9","4"
"608","2387.","Centaurea calcitrapa","8","7","3","5","x","6"
"609","2388.","Centaurea cyanus","7","6","5","x","x","x"
"610","2390.","Centaurea diffusa","9","7","6","3","8","3"
"611","2391.","Centaurea jacea","7","x","5","x","x","x"
"612","2392.","Centaurea jacea ssp. angustifolia","8","7","6","4","x","2"
"613","2397.","Centaurea jacea ssp. pratensis","7","6","4","5","6","3"
"614","2398.","Centaurea jacea ssp. subjacea","8","7","3","3","8","2"
"615","2399.","Centaurea montana","6","4","4","5","7","6"
"616","2404.","Centaurea nemoralis","7","6","3","4","6","3"
"617","2403.","Centaurea nigra","8","4","2","5","3","4"
"618","2405.","Centaurea nigrescens","8","6","6","4","6","6"
"619","0","Centaurea paniculata agg.","8","7","6","2","8","3"
"620","2410.","Centaurea phrygia","8","x","5","5","x","4"
"621","2411.","Centaurea pseudophrygia","8","4","5","5","5","4"
"622","2414.","Centaurea scabiosa","7","x","3","3","8","4"
"623","2415.","Centaurea scabiosa ssp. alpestris","8","2","3","5","8","3"
"624","2422.","Centaurea solstitialis","8","6","6","4","7","6"
"625","2423.","Centaurea stenolepis","6","6","5","4","8","4"
"626","2428.","Centaurea triumfettii","6","7","5","4","7","4"
"627","2444.","Centaurium erythraea","8","6","5","5","6","6"
"628","2449.","Centaurium pulchellum","9","6","7","x","9","4"
"629","2447.","Centaurium littorale","9","6","5","7","8","3"
"630","2451.","Centranthus ruber","7","8","3","6","8","5"
"631","2453.","Centunculus minimus","8","6","3","7","4","3"
"632","2455.","Cephalanthera damasonium","3","6","2","4","7","4"
"633","2456.","Cephalanthera longifolia","5","5","3","4","6","4"
"634","2457.","Cephalanthera rubra","4","5","4","3","8","4"
"635","2510.","Cerastium alpinum","9","1","2","4","6","2"
"636","2512.","Cerastium arvense","8","x","5","4","6","4"
"637","2515.","Cerastium arvense ssp. strictum","9","3","6","3","x","2"
"638","2518.","Cerastium brachypetalum","9","7","4","3","8","2"
"639","2524.","Cerastium cerastoides","8","1","?","8","4","7"
"640","0","Cerastium diffusum (tetrandrum)","8","6","2","4","4","2"
"641","2525.","Cerastium dubium","9","6","6","8","7","5"
"642","2527.","Cerastium fontanum","6","3","4","5","5","5"
"643","2530.","Cerastium holosteoides ssp. triviale","6","x","x","5","x","5"
"644","2528.","Cerastium glomeratum","7","5","3","5","5","5"
"645","2533.","Cerastium latifolium","9","1","4","5","9","3"
"646","2535.","Cerastium pedunculatum","9","2","4","5","3","3"
"647","2536.","Cerastium pumilum agg.","8","7","4","2","8","2"
"648","2539.","Cerastium semidecandrum","8","6","3","3","6","x"
"649","2543.","Cerastium uniflorum","9","1","4","5","x","3"
"650","2546.","Ceratocephalus falcatus","8","9","8","4","x","4"
"651","2557.","Ceratophyllum demersum","6","7","x","12","8","8"
"652","2560.","Ceratophyllum submersum","5","8","5","12","8","7"
"653","0","Cerinthe glabra ssp. glabra","7","x","4","5","8","9"
"654","2575.","Cerinthe minor","8","6","5","4","8","4"
"655","1035.","Ceterach officinarum","8","9","3","3","8","2"
"656","6812.","Microrrhinum minus","8","6","3","4","8","5"
"657","2634.","Chaerophyllum aromaticum","7","5","5","7","6","8"
"658","2635.","Chaerophyllum aureum","6","5","4","5","9","9"
"659","2636.","Chaerophyllum bulbosum","7","6","5","7","8","8"
"660","2638.","Chaerophyllum hirsutum","6","3","4","8","x","7"
"661","2639.","Chaerophyllum temulum","5","6","3","5","x","8"
"662","2640.","Chaerophyllum villarsii","8","3","4","6","6","8"
"663","2650.","Chamaecytisus ratisbonensis","6","7","6","4","x","2"
"664","2651.","Chamaecytisus supinus","7","6","4","3","x","1"
"665","0","Chamaedaphne calyculata","7","3","7","8","3","2"
"666","4613.","Chamaespartium sagittale","8","5","4","4","4","2"
"667","2665.","Chamorchis alpina","9","2","2","4","9","2"
"668","2688.","Chelidonium majus","6","6","x","5","x","8"
"669","2691.","Chenopodium album agg.","","","","","",""
"670","2692.","Chenopodium album","x","x","x","4","x","7"
"671","2716.","Chenopodium opulifolium","8","7","3","4","7","6"
"672","2725.","Chenopodium strictum","9","7","7","4","x","6"
"673","2728.","Chenopodium suecicum","8","6","6","4","6","7"
"674","2700.","Chenopodium bonus-henricus","8","x","2","5","x","9"
"675","2701.","Chenopodium botrys","8","7","2","4","7","6"
"676","2705.","Chenopodium ficifolium","7","7","7","6","x","7"
"677","2706.","Chenopodium foliosum","8","x","8","4","7","8"
"678","2708.","Chenopodium glaucum","8","6","7","6","x","9"
"679","2710.","Chenopodium hybridum","7","6","7","5","8","8"
"680","2714.","Chenopodium murale","8","7","6","4","8","9"
"681","2717.","Chenopodium polyspermum","6","6","4","6","x","8"
"682","2720.","Chenopodium pumilio","9","7","?","4","7","8"
"683","2723.","Chenopodium rubrum","8","x","x","6","x","9"
"684","0","Chenopodium rubrum botryoides","8","6","7","7","7","9"
"685","2729.","Chenopodium urbicum","7","7","7","4","7","7"
"686","2730.","Chenopodium vulvaria","7","7","4","4","7","9"
"687","2736.","Chimaphila umbellata","4","6","6","4","6","3"
"688","0","Chondrilla chondrilloides","9","4","4","5","9","2"
"689","2745.","Chondrilla juncea","8","7","5","3","6","x"
"690","2755.","Chrysanthemum segetum","7","6","2","5","5","5"
"691","2759.","Chrysosplenium alternifolium","4","4","5","8","7","5"
"692","2760.","Chrysosplenium oppositifolium","6","5","2","9","5","5"
"693","0","Cicendia filiformis","9","7","2","8","3","2"
"694","2767.","Cicerbita alpina","6","3","2","6","6","8"
"695","0","Cicerbita plumieri","5","3","1","5","6","7"
"696","2772.","Cichorium intybus","9","6","5","4","8","5"
"697","2774.","Cicuta virosa","7","6","7","9","5","5"
"698","2790.","Circaea alpina","4","4","4","7","5","5"
"699","2794.","Circaea x intermedia","4","5","2","7","7","6"
"700","2791.","Circaea lutetiana","4","5","3","6","7","7"
"701","2800.","Cirsium acaule","9","5","4","3","8","2"
"702","2801.","Cirsium arvense","8","5","x","x","x","7"
"703","2803.","Cirsium canum","8","7","6","8","7","?"
"704","0","Cirsium dissectum","7","7","1","8","4","2"
"705","2805.","Cirsium eriophorum","8","x","3","4","9","5"
"706","2807.","Cirsium erisithales","6","5","5","5","8","2"
"707","2808.","Cirsium heterophyllum","7","4","5","8","5","6"
"708","2809.","Cirsium oleraceum","6","x","3","7","7","5"
"709","2810.","Cirsium palustre","7","5","3","8","4","3"
"710","2812.","Cirsium rivulare","9","5","4","7","8","5"
"711","2813.","Cirsium spinosissimum","7","2","5","6","7","8"
"712","2814.","Cirsium tuberosum","7","6","2","6","8","3"
"713","2815.","Cirsium vulgare","8","5","3","5","7","8"
"714","2827.","Cladium mariscus","9","6","3","10","9","3"
"715","2934.","Claytonia perfoliata","6","6","4","5","7","7"
"716","2938.","Clematis alpina","4","3","7","5","3","3"
"717","2942.","Clematis recta","6","7","5","3","8","3"
"718","2944.","Clematis vitalba","7","6","3","5","7","7"
"719","2954.","Clinopodium vulgare","7","x","3","4","7","3"
"720","2966.","Cnicus benedictus","8","8","3","4","7","6"
"721","10063","Cnidium dubium","7","7","6","8","6","?"
"722","0","Cochlearia anglica","8","5","1","8","7","7"
"723","0","Cochlearia danica","9","6","3","8","8","5"
"724","2970.","Cochlearia officinalis agg.","8","6","x","7","7","6"
"725","2971.","Cochlearia pyrenaica ssp. pyrenaica","8","4","4","9","8","3"
"726","2977.","Coeloglossum viride","8","x","x","4","4","2"
"727","2983.","Colchicum autumnale","6","5","2","6","7","x"
"728","2986.","Coleanthus subtilis","9","7","5","8","3","2"
"729","3031.","Collomia grandiflora","6","7","3","4","7","3"
"730","3039.","Colutea arborescens","5","8","3","3","8","2"
"731","3050.","Conium maculatum","8","6","5","6","x","8"
"732","0","Conopodium majus","8","4","2","5","4","4"
"733","3059.","Conringia orientalis","7","6","5","3","9","4"
"734","3065.","Consolida regalis","6","7","6","4","8","5"
"735","3067.","Convallaria majalis","5","x","3","4","x","4"
"736","3069.","Convolvulus arvensis","7","6","x","4","7","x"
"737","3074.","Conyza canadensis","8","6","x","4","x","5"
"738","3076.","Corallorhiza trifida","x","4","7","5","3","x"
"739","3085.","Corispermum leptoterum","8","7","5","3","7","6"
"740","3086.","Corispermum marschallii","9","6","6","4","8","5"
"741","3092.","Cornus mas","6","7","4","4","8","4"
"742","3093.","Cornus sanguinea","7","5","4","5","7","x"
"743","0","Cornus suecica","5","4","3","7","2","2"
"744","3101.","Coronilla coronata","7","6","4","3","9","3"
"745","5209.","Coronilla emerus","7","6","4","3","9","2"
"746","3104.","Coronilla vaginalis","6","x","4","3","9","2"
"747","10005","Securigera varia","7","6","5","4","9","3"
"748","3106.","Coronopus didymus","9","7","4","5","6","6"
"749","3107.","Coronopus squamatus","8","7","3","6","7","6"
"750","3109.","Corrigiola litoralis","8","6","2","7","5","5"
"751","3115.","Cortusa matthioli","5","3","5","6","6","7"
"752","3118.","Corydalis cava","3","6","4","6","8","8"
"753","0","Corydalis claviculata","5","6","1","5","3","6"
"754","3119.","Corydalis intermedia","3","4","4","5","7","7"
"755","0","Corydalis lutea","6","7","4","6","9","5"
"756","3121.","Corydalis solida","3","6","5","5","7","7"
"757","3123.","Corylus avellana","6","5","3","x","x","5"
"758","3127.","Corynephorus canescens","8","6","5","2","3","2"
"759","3133.","Cotinus coggygria","7","8","4","3","7","3"
"760","3137.","Cotoneaster integerrimus","8","x","4","3","7","2"
"761","3143.","Cotoneaster tomentosus","7","5","4","3","9","2"
"762","0","Cotula coronopifolia","9","6","?","7","7","7"
"763","3148.","Crambe maritima","9","6","x","6","7","8"
"764","11292","Crassula aquatica","8","6","3","7","x","2"
"765","0","Crassula tillaea","8","7","2","7","x","3"
"766","3154.","Crataegus laevigata agg.","6","6","4","5","7","5"
"767","3157.","Crataegus monogyna agg.","7","5","3","4","8","4"
"768","3177.","Crepis alpestris","7","4","4","4","8","2"
"769","3178.","Crepis aurea","8","2","4","5","5","7"
"770","3179.","Crepis biennis","7","5","3","6","6","5"
"771","3180.","Crepis capillaris","7","6","2","5","6","4"
"772","3181.","Crepis conyzifolia","9","3","4","5","2","2"
"773","3183.","Crepis foetida","9","7","3","4","7","3"
"774","3186.","Crepis kerneri (jaquinii ssp.)","9","2","4","5","9","3"
"775","3189.","Crepis mollis","8","4","5","5","5","5"
"776","3190.","Crepis nicaeensis","8","6","4","4","7","6"
"777","3191.","Crepis paludosa","7","x","3","8","8","6"
"778","3193.","Crepis pontana (bocconi)","8","2","4","5","8","5"
"779","3194.","Crepis praemorsa","6","7","6","3","9","3"
"780","3195.","Crepis pulchra ssp. pulchra","7","8","3","4","8","6"
"781","3196.","Crepis pyrenaica (blattarioides)","7","3","4","5","7","6"
"782","3197.","Crepis rhaetica","9","1","3","7","8","3"
"783","3199.","Crepis setosa","9","7","4","4","7","3"
"784","3201.","Crepis taraxacifolia","9","6","3","4","8","5"
"785","3202.","Crepis tectorum","8","6","7","4","x","6"
"786","3203.","Crepis terglouensis","9","1","4","5","9","3"
"787","3211.","Crocus albiflorus","7","3","4","5","5","x"
"788","3230.","Cruciata glabra","7","6","4","5","7","5"
"789","3231.","Cruciata laevipes","7","5","5","6","6","7"
"790","3243.","Cryptogramma crispa","8","3","3","5","3","2"
"791","3252.","Cucubalus baccifer","6","6","4","9","8","7"
"792","0","Cuscuta australis","x","7","?","?","x","x"
"793","3265.","Cuscuta campestris","x","7","?","?","x","x"
"794","3266.","Cuscuta epilinum","x","6","4","x","x","x"
"795","3267.","Cuscuta epithymum","x","x","5","x","x","2"
"796","3269.","Cuscuta europaea","x","6","5","7","x","7"
"797","3270.","Cuscuta gronovii","x","6","?","8","x","8"
"798","3271.","Cuscuta lupuliformis","x","6","6","8","","8"
"799","3275.","Cuscuta suaveolens","x","6","?","?","x","x"
"800","3282.","Cyclamen purpurascens","4","6","4","5","9","5"
"801","3290.","Cydonia oblonga","8","6","3","4","8","4"
"802","3292.","Cymbalaria muralis","7","7","4","6","8","5"
"803","3298.","Cynodon dactylon","8","7","3","4","x","5"
"804","3308.","Cynoglossum germanicum","6","6","4","5","8","8"
"805","3310.","Cynoglossum officinale","8","6","5","4","7","7"
"806","3314.","Cynosurus cristatus","8","5","3","5","x","4"
"807","0","Cyperus badius","8","7","3","8","?","?"
"808","3318.","Cyperus flavescens","9","6","4","7","x","4"
"809","3319.","Cyperus fuscus","9","6","4","7","x","4"
"810","3321.","Cyperus longus","8","8","3","9","x","5"
"811","3322.","Cyperus michelianus","9","6","4","8","7","6"
"812","3335.","Cypripedium calceolus","5","5","5","4","8","4"
"813","3345.","Cystopteris dickieana","5","2","4","7","9","2"
"814","3346.","Cystopteris fragilis","5","x","3","7","8","4"
"815","3348.","Cystopteris montana","4","x","4","7","9","2"
"816","0","Cystopteris regia","6","3","3","7","8","3"
"817","3349.","Cystopteris sudetica","5","4","7","5","9","2"
"818","3354.","Cytisus scoparius","8","5","2","4","3","4"
"819","3364.","Dactylis glomerata","7","x","3","5","x","6"
"820","3367.","Dactylis polygama","5","6","4","5","6","5"
"821","3378.","Dactylorhiza incarnata","8","5","3","8","7","2"
"822","3380.","Dactylorhiza incarnata ssp. ochroleuca","8","4","3","8","7","2"
"823","3383.","Dactylorhiza maculata","7","x","2","8","x","2"
"824","3384.","Dactylorhiza maculata ssp. elodes","8","6","2","8","2","2"
"825","3387.","Dactylorhiza majalis","8","5","3","8","7","3"
"826","3388.","Dactylorhiza majalis ssp. alpestris","8","3","3","9","3","1"
"827","0","Dactylorhiza praetermissa","9","5","?","9","8","2"
"828","3394.","Dactylorhiza sambucina","7","5","4","4","5","2"
"829","0","Dactylorhiza sphagnicola","9","5","?","8","3","1"
"830","3396.","Dactylorhiza traunsteineri","8","4","4","9","4","2"
"831","3419.","Danthonia alpina","9","6","5","3","?","2"
"832","3420.","Danthonia decumbens","8","x","2","x","3","2"
"833","3424.","Daphne alpina","8","4","5","4","8","3"
"834","3426.","Daphne cneorum","6","5","4","4","8","2"
"835","3427.","Daphne laureola","4","7","2","4","8","4"
"836","3428.","Daphne mezereum","4","x","4","5","7","5"
"837","3429.","Daphne striata","7","3","4","4","8","2"
"838","3435.","Datura stramonium","8","6","x","4","7","8"
"839","3438.","Daucus carota","8","6","5","4","x","4"
"840","3453.","Dentaria bulbifera","3","5","4","5","7","6"
"841","3454.","Dentaria enneaphyllos","4","4","4","5","7","7"
"842","0","Dentaria heptaphyllos (pinnata)","3","5","2","5","8","6"
"843","3456.","Dentaria pentaphyllos (digitata)","3","5","2","5","7","6"
"844","3473.","Deschampsia cespitosa","6","x","x","7","x","3"
"845","0","Deschampsia litoralis","8","6","4","10","7","2"
"846","0","Deschampsia media","8","7","2","8","7","4"
"847","0","Deschampsia setacea","8","6","1","9","2","1"
"848","0","Deschampsia wibeliana","8","6","2","9","8","4"
"849","3476.","Descurainia sophia","8","6","7","4","x","6"
"850","3494.","Dianthus armeria","6","6","3","5","x","3"
"851","3497.","Dianthus carthusianorum","8","5","4","3","7","2"
"852","3504.","Dianthus deltoides","8","5","4","3","3","2"
"853","3507.","Dianthus gratianopolitanus","9","7","4","2","7","1"
"854","3524.","Dianthus sylvaticus","7","6","4","4","3","2"
"855","3526.","Dianthus sylvestris ssp. sylvestris","6","6","4","4","4","2"
"856","3523.","Dianthus superbus ssp. superbus","7","6","7","8","8","2"
"857","3522.","Dianthus superbus ssp. alpestris","8","2","7","5","7","4"
"858","3594.","Dictamnus albus","7","8","4","3","8","2"
"859","3628.","Digitalis grandiflora","7","4","4","5","5","5"
"860","3630.","Digitalis lutea","7","6","2","5","7","5"
"861","3631.","Digitalis purpurea","7","5","2","5","3","6"
"862","3633.","Digitaria ischaemum","7","6","4","5","2","3"
"863","3634.","Digitaria sanguinalis","7","7","3","4","5","5"
"864","6508.","Diphasiastrum alpinum","8","3","3","5","2","2"
"865","6514.","Diphasiastrum complanatum","6","4","7","4","1","2"
"866","6515.","Diphasiastrum issleri","9","5","5","5","1","1"
"867","6517.","Diphasiastrum tristachyum","8","6","5","5","1","1"
"868","6518.","Diphasium zeilleri","7","6","?","4","1","2"
"869","3661.","Diplotaxis muralis","8","8","3","4","8","5"
"870","3662.","Diplotaxis tenuifolia","8","7","3","3","x","6"
"871","0","Diplotaxis viminea","7","8","2","5","8","6"
"872","3664.","Dipsacus fullonum","9","6","3","6","8","7"
"873","3665.","Dipsacus laciniatus","7","7","5","6","8","6"
"874","3666.","Virga pilosa","7","6","5","6","8","7"
"875","3667.","Virga strigosa","8","6","7","5","8","5"
"876","3698.","Doronicum austriacum","5","3","4","6","7","7"
"877","3703.","Doronicum columnae (cordatum)","8","2","4","6","8","7"
"878","3704.","Doronicum glaciale","8","1","4","6","7","3"
"879","3705.","Doronicum grandiflorum","8","2","4","5","9","3"
"880","3708.","Doronicum pardalianches","4","6","2","5","7","6"
"881","3711.","Dorycnium germanicum","7","6","4","2","9","1"
"882","3712.","Dorycnium herbaceum","7","6","4","3","9","3"
"883","3718.","Draba aizoides","8","x","4","3","9","1"
"884","3723.","Draba dubia (frigida)","8","2","5","3","x","2"
"885","3724.","Draba fladnizensis","9","2","7","5","6","2"
"886","3725.","Draba hoppeana","8","1","5","5","7","2"
"887","0","Draba ladina","8","2","7","4","9","2"
"888","3727.","Draba muralis","7","6","2","5","8","6"
"889","3731.","Draba sauteri","6","2","4","5","9","2"
"890","3732.","Draba siliquosa (carinthiaca)","8","2","4","5","6","2"
"891","3735.","Draba tomentosa","9","1","4","2","9","2"
"892","3743.","Dracocephalum ruyschiana","6","5","8","4","7","2"
"893","3775.","Drosera anglica","8","4","3","9","3","2"
"894","3776.","Drosera intermedia","9","5","2","9","2","2"
"895","3778.","Drosera x obovata","8","4","3","9","2","2"
"896","3777.","Drosera rotundifolia","8","4","3","9","1","1"
"897","3780.","Dryas octopetala","9","2","7","4","8","4"
"898","3782.","Dryopteris affinis","3","5","2","6","5","6"
"899","3787.","Dryopteris carthusiana","5","x","3","x","4","3"
"900","3791.","Dryopteris cristata","4","6","4","9","5","6"
"901","3792.","Dryopteris dilatata","4","x","3","6","x","7"
"902","3793.","Dryopteris expansa","4","3","?","6","2","2"
"903","3794.","Dryopteris filix-mas","3","x","3","5","5","6"
"904","3796.","Dryopteris remota","3","4","?","6","4","5"
"905","3797.","Dryopteris villarii","9","2","2","5","9","3"
"906","3806.","Ecballium elaterium","8","9","?","5","8","7"
"907","3809.","Echinochloa crus-galli","6","7","5","5","x","8"
"908","3814.","Echinocystis lobata","7","8","?","9","8","8"
"909","3820.","Echinops sphaerocephalus","8","7","6","4","8","7"
"910","3827.","Echium vulgare","9","6","3","4","8","4"
"911","3836.","Elatine alsinastrum","8","7","5","9","5","4"
"912","3837.","Elatine hexandra","8","6","2","9","3","2"
"913","3838.","Elatine hydropiper","8","6","4","8","2","3"
"914","3839.","Elatine triandra","8","6","4","9","4","4"
"915","3842.","Eleocharis acicularis","7","6","3","10","x","2"
"916","3845.","Eleocharis mamillata","8","5","?","10","4","3"
"917","0","Eleocharis multicaulis","8","6","1","10","x","2"
"918","3847.","Eleocharis ovata","8","6","4","8","x","5"
"919","3848.","Eleocharis palustris","8","x","x","10","x","?"
"920","0","Eleocharis parvula","7","6","5","10","7","5"
"921","3852.","Eleocharis quinqueflora","8","x","3","9","7","2"
"922","3853.","Eleocharis uniglumis","7","5","x","10","7","5"
"923","3859.","Elodea canadensis","7","6","5","12","7","7"
"924","3860.","Elodea nuttallii","7","6","3","12","?","7"
"925","3865.","Elymus arenarius","9","6","x","6","7","6"
"926","5622.","Elyna myosuroides","9","2","7","4","x","2"
"927","3874.","Empetrum hermaphroditum","8","3","x","6","4","2"
"928","3876.","Empetrum nigrum","7","x","3","6","x","2"
"929","3956.","Epilobium ciliatum","7","6","?","5","7","8"
"930","3952.","Epilobium alpestre","7","3","4","6","7","8"
"931","3953.","Epilobium alsinifolium","8","2","2","9","6","5"
"932","3954.","Epilobium anagallidifolium","8","2","3","7","5","4"
"933","3955.","Epilobium angustifolium","8","x","5","5","5","8"
