Taxon,L,T,K,F,R,N,,FZ,S
Leontodon hispidus,8,i,i,5,6,i,,~,0
Leontodon hispidus subsp. dubius,8,4,5,3,9,3,,,0
Leontodon hispidus subsp. hispidus,8,i,i,5,6,6,,~,0
Leontodon hispidus subsp. hyoseroides,8,4,5,4,8,3,,,0
Leontodon incanus,7,5,5,2,8,2,,,0
Leontodon saxatilis,8,7,3,7,7,5,,~,2
Leontopodium alpinum,9,2,6,4,8,2,,,0
Leonurus cardiaca,8,6,7,5,7,8,,,1
Lepidium campestre,7,6,i,4,7,6,,,1
Lepidium cartilagineum,9,8,8,7,8,2,,~,7
Lepidium coronopus,8,7,i,5,7,7,,~,2
Lepidium densiflorum,8,6,7,4,7,6,,,0
Lepidium didymum,9,7,3,5,7,6,,,1
Lepidium draba,8,7,8,3,7,4,,,1
Lepidium graminifolium,8,8,5,3,6,4,,,0
Lepidium heterophyllum,8,7,2,5,6,5,,,1
Lepidium latifolium,9,7,8,5,7,6,,~,4
Lepidium neglectum,9,7,7,3,8,4,,,0
Lepidium perfoliatum,8,7,8,5,8,5,,,4
Lepidium ruderale,9,6,6,4,7,6,,,3
Lepidium sativum,8,7,5,5,7,6,,,0
Lepidium virginicum,8,6,i,4,6,5,,,1
Leucanthemella serotina,7,7,5,7,5,5,,,0
Leucanthemopsis alpina,8,1,5,6,3,3,,,0
Leucanthemopsis alpina var. alpina,8,1,5,6,3,3,,,0
Leucanthemopsis alpina var. cuneifolia,9,1,5,6,4,3,,,0
Leucanthemum adustum,8,4,4,4,7,3,,,0
Leucanthemum atratum,8,2,4,4,9,2,,,0
Leucanthemum gaudinii,8,4,5,4,6,4,,,0
Leucanthemum halleri,9,2,5,5,9,2,,,0
Leucanthemum heterophyllum,7,4,4,5,6,5,,,0
Leucanthemum ircutianum,8,5,i,4,6,4,,~,0
Leucanthemum lithopolitanicum,8,2,5,4,9,3,,,0
Leucanthemum margaritae,6,5,3,4,8,4,,,0
Leucanthemum vulgare,8,5,i,4,6,5,,,1
Leucojum aestivum,7,8,5,8,7,7,,=,0
Leucojum vernum,6,5,4,6,7,7,,,0
Levisticum officinale,7,6,5,5,6,5,,,0
Ligularia dentata,7,6,8,6,7,5,,~,0
Ligularia sibirica,7,5,8,8,7,4,,~,0
Ligustrum ovalifolium,5,8,3,4,7,3,,,0
Ligustrum vulgare,6,6,3,4,7,4,,,0
Lilium bulbiferum subsp. bulbiferum,7,5,5,5,7,4,,,0
Lilium candidum,7,8,5,3,7,5,,,0
Lilium carniolicum,7,4,5,4,8,4,,,0
Lilium martagon,5,i,6,5,7,5,,,0
Limodorum abortivum,6,7,i,4,8,3,,,0
Limosella aquatica,8,6,i,8,7,6,,=,1
Linaria alpina,9,3,4,4,7,2,,,0
Linaria alpina subsp. alpina,9,2,4,5,7,2,,,0
Linaria alpina subsp. petraea,9,4,4,4,9,2,,,0
Linaria angustissima,9,7,i,3,8,2,,,0
Linaria arvensis,7,7,2,5,7,5,,,0
Linaria dalmatica,9,7,6,2,7,2,,,0
Linaria genistifolia,8,7,6,2,7,2,,,0
Linaria purpurea,8,8,7,4,7,5,,,0
Linaria repens,7,6,2,4,4,5,,,0
Linaria simplex,9,8,5,4,7,4,,,0
Linaria supina,9,7,4,2,6,2,,,0
Linaria vulgaris subsp. vulgaris,8,6,i,4,7,5,,,1
Lindernia dubia,9,7,i,8,6,6,,=,1
Lindernia procumbens,9,7,7,8,7,6,,=,0
Linnaea borealis,4,3,6,5,2,2,,,0
Linum alpinum,9,2,4,4,9,2,,,0
Linum austriacum subsp. austriacum,9,7,8,2,8,2,,,0
Linum catharticum,8,5,i,5,7,3,,~,1
Linum flavum,8,7,7,3,8,3,,~,0
Linum hirsutum subsp. hirsutum,9,8,7,2,8,2,,,0
Linum maritimum,9,8,5,6,7,5,,~,4
Linum perenne,7,6,6,3,8,2,,,0
Linum radiola,8,6,4,7,3,2,,=,0
Linum tenuifolium,9,8,6,2,9,2,,,0
Linum usitatissimum,8,6,i,4,6,6,,,0
Linum viscosum,8,6,4,4,8,3,,~,0
Lipandra polysperma,7,6,6,6,6,8,,,0
Liparis loeselii,8,5,5,9,9,2,,=,1
Liparis nemoralis,5,5,4,5,9,3,,,0
Liriodendron tulipifera,7,9,4,5,7,4,,,0
Listera cordata,1,3,i,7,2,2,,,0
Listera ovata,6,5,i,6,7,6,,~,0
Lithospermum officinale,7,6,i,4,7,5,,,0
Litorella uniflora,8,5,4,10,5,2,,,1
Lobelia erinus,7,8,2,5,5,5,,,0
Lobularia maritima,8,7,5,2,7,4,,,1
Lolium apenninum,7,3,5,6,6,7,,,0
Lolium arundinaceum,8,6,i,7,7,6,,~,3
Lolium arundinaceum subsp. arundinaceum,8,6,4,7,7,6,,~,2
Lolium arundinaceum subsp. uechtritziana,8,6,8,7,6,7,,~,3
Lolium giganteum,4,5,i,7,6,6,,,0
Lolium multiflorum,8,7,i,5,7,8,,,1
Lolium paniculatum,9,2,5,4,6,4,,,0
Lolium perenne,8,6,i,5,7,7,,~,1
Lolium pratense,8,5,i,6,6,7,,~,1
Lolium pratense agg.,8,i,i,6,6,7,,~,1
Lolium pulchellum,8,2,4,5,8,3,,,0
Lolium pulchellum subsp. juranum,9,2,5,4,8,2,,,0
Lolium pulchellum subsp. pulchellum,8,2,4,6,8,3,,,0
Lolium remotum,7,6,5,5,6,5,,,0
Lolium rigidum,8,8,5,3,7,4,,,1
Lolium rigidum subsp. lepturoides,8,8,4,5,6,5,,,0
Lolium rigidum subsp. rigidum,8,8,5,3,7,4,,,1
Lolium temulentum,7,7,i,4,7,6,,~,0
Lolium x boucheanum,8,6,i,5,7,8,,,1
Lomatogonium carinthiacum,9,1,8,6,7,2,,,0
Loncomelos brevistylus,8,7,6,4,6,4,,,0
Loncomelos pyrenaicus,7,6,i,5,7,5,,~,0
Loncomelos pyrenaicus subsp. pyrenaicus,7,6,4,5,7,5,,,0
Loncomelos pyrenaicus subsp. sphaerocarpus,8,7,8,4,6,4,,~,0
Lonicera alpigena,4,4,4,6,8,6,,,0
Lonicera caerulea,5,3,7,6,2,2,,,0
Lonicera caprifolium,6,7,5,4,7,5,,~,0
Lonicera etrusca,7,9,i,3,6,4,,,0
Lonicera henryi,5,8,5,5,5,5,,,0
Lonicera japonica,3,9,3,5,5,7,,,0
Lonicera nigra,3,4,5,5,5,4,,,0
Lonicera nitida,5,8,3,5,5,5,,,0
Lonicera periclymenum,6,5,2,5,4,5,,,0
Lonicera pileata,2,8,5,5,5,5,,,0
Lonicera tatarica,6,8,7,4,5,5,,,0
Lonicera xylosteum,4,6,5,5,7,5,,,0
Loranthus europaeus,8,6,6,i,i,i,,,0
Lotus borbasii,8,7,6,3,9,3,,,0
Lotus corniculatus,7,i,i,4,7,4,,,1
Lotus germanicus,7,7,6,2,9,2,,,0
Lotus herbaceus,7,7,6,4,8,3,,~,0
Lotus maritimus,8,7,5,6,8,3,,~,3
Lotus ornithopodioides,9,9,5,2,6,4,,,1
Lotus pedunculatus,7,6,4,8,5,4,,,0
Lotus tenuis,8,7,6,6,8,5,,~,6
Ludwigia grandiflora,7,9,3,9,5,7,,=,0
Ludwigia palustris,8,7,4,9,4,6,,=,1
Lunaria annua,5,7,4,5,7,7,,,0
Lunaria rediviva,4,5,5,6,7,8,,,0
Lupinus albus,9,9,5,3,6,6,,,0
Lupinus angustifolius,9,8,4,3,4,4,,,0
Lupinus luteus,9,8,2,3,2,5,,,0
Lupinus polyphyllus,7,5,3,5,4,5,,,0
Luronium natans,8,6,3,11,5,3,,,0
Luzula alpina,8,2,5,5,3,3,,,0
Luzula alpinopilosa,8,2,3,7,4,3,,~,0
Luzula campestris,8,5,4,4,i,3,,,0
Luzula divulgata,6,6,6,4,3,3,,,0
Luzula exspectata,8,3,5,5,7,2,,,0
Luzula forsteri,3,6,i,4,4,3,,,0
Luzula glabrata,8,2,5,6,7,4,,,0
Luzula lutea,7,3,4,4,3,3,,,0
Luzula luzulina,3,4,4,5,5,4,,,0
Luzula luzuloides,5,i,5,5,3,4,,,0
Luzula luzuloides var. luzuloides,4,5,5,5,3,4,,,0
Luzula luzuloides var. rubella,6,3,5,5,3,3,,,0
Luzula multiflora,7,i,i,5,4,3,,~,0
Luzula nivea,4,4,4,5,5,3,,,0
Luzula pallidula,7,6,7,5,4,3,,~,0
Luzula pilosa,3,i,i,5,5,4,,,0
Luzula spicata,9,2,6,4,4,1,,,0
Luzula spicata subsp. conglomerata,9,2,5,4,4,1,,,0
Luzula spicata subsp. spicata,9,2,6,4,6,1,,,0
Luzula sudetica,8,3,5,6,3,2,,~,0
Luzula sylvatica,4,4,3,6,3,4,,,0
Luzula sylvatica subsp. sieberi,5,3,4,5,2,3,,,0
Luzula sylvatica subsp. sylvatica,4,4,3,6,4,4,,,0
Lychnis coronaria,7,7,5,4,6,5,,,0
Lychnis flos-cuculi,7,5,i,7,5,4,,~,1
Lychnis flos-jovis,8,4,6,3,3,4,,,0
Lycium barbarum,8,7,8,4,7,5,,,1
Lycium chinense,8,7,4,4,7,3,,,1
Lycopersicon esculentum,7,8,i,5,6,9,,,0
Lycopodiella inundata,9,4,4,9,1,1,,=,0
Lycopodium annotinum,3,4,6,6,3,3,,,0
Lycopodium clavatum,7,i,i,4,2,2,,,0
Lycopodium clavatum subsp. clavatum,7,i,4,4,2,2,,,0
Lycopodium clavatum subsp. monostachyon,7,3,6,4,2,2,,,0
Lycopsis arvensis,8,6,i,4,5,6,,,0
Lycopsis arvensis agg.,8,6,i,4,5,6,,,0
Lycopsis orientalis,8,7,6,5,6,6,,,0
Lycopus europaeus,7,6,i,9,7,7,,~,1
Lycopus europaeus subsp. europaeus,7,6,i,9,7,7,,~,1
Lycopus europaeus subsp. mollis,7,7,5,9,7,7,,~,1
Lycopus exaltatus,7,7,8,9,7,7,,=,2
Lysimachia nemorum,3,5,3,7,6,6,,~,0
Lysimachia nummularia,4,6,i,7,6,6,,~,0
Lysimachia punctata,6,6,7,7,6,6,,,0
Lysimachia thyrsiflora,7,5,6,9,4,4,,=,0
Lysimachia vulgaris,7,5,i,8,6,5,,~,1
Lythrum hyssopifolia,8,7,i,7,5,5,,~,3
Lythrum junceum,7,8,4,7,6,5,,=,0
Lythrum salicaria,7,5,i,9,6,6,,~,1
Lythrum virgatum,8,7,7,8,7,5,,~,3
Macleaya cordata,5,8,3,5,5,7,,,0
Maianthemum bifolium,3,5,6,5,4,3,,,0
Malaxis monophyllos,4,4,6,7,6,5,,,0
Malcolmia africana,9,9,5,1,7,5,,,4
Malcolmia maritima,9,9,3,2,7,5,,,4
Malus dasyphylla,7,7,5,4,5,5,,,0
Malus domestica,7,7,7,5,5,5,,,0
Malus sylvestris,6,6,i,5,7,5,,~,0
Malva alcea,8,6,5,4,7,7,,,0
Malva moschata,8,6,4,4,7,6,,,0
Malva neglecta,8,6,i,5,7,9,,,2
Malva nicaeensis,7,8,4,4,7,8,,,0
Malva pusilla,8,7,7,4,7,8,,,2
Malva sylvestris,8,6,i,4,7,7,,,1
Malva sylvestris subsp. mauritiana,8,7,i,5,6,8,,,1
Malva sylvestris subsp. sylvestris,8,6,i,4,7,7,,,1
Malva thuringiaca,7,7,8,4,7,6,,,1
Malva trimestris,8,8,5,4,7,5,,,1
Malva verticillata,8,7,5,4,7,8,,,1
Mantisalca salmantica,8,9,4,3,7,3,,,0
Marrubium peregrinum,9,8,8,3,7,6,,,1
Marrubium vulgare,9,7,i,4,7,7,,,1
Marsilea quadrifolia,8,8,i,10,7,6,,,0
Matricaria chamomilla,8,6,i,5,6,6,,,3
Matricaria discoidea,8,5,i,5,7,8,,,1
Matteuccia struthiopteris,5,5,7,7,7,7,,~,0
Matthiola incana,9,9,4,2,9,3,,,4
Matthiola longipetala subsp. longipetala,9,8,3,4,7,4,,,1
Mazus pumilio,7,9,1,6,3,3,,,0
Medicago arabica,8,7,5,4,8,5,,,1
Medicago carstiensis,8,7,6,3,8,3,,,1
Medicago disciformis,9,9,4,3,7,5,,,1
Medicago falcata,8,6,i,3,7,3,,,1
Medicago lupulina,7,5,i,4,7,4,,,1
Medicago minima,9,7,i,3,8,4,,,1
Medicago monspeliaca,8,8,6,2,8,2,,,0
Medicago polymorpha,9,8,i,2,6,5,,,1
Medicago prostrata,9,8,6,2,9,2,,,0
Medicago sativa,8,6,6,4,7,6,,,1
Medicago scutellata,9,9,5,3,6,5,,,0
Medicago x varia,8,6,8,4,7,4,,,1
Melampodium montanum,8,7,i,6,6,7,,,0
Melampyrum arvense,7,7,6,3,7,4,,,0
Melampyrum barbatum subsp. barbatum,8,8,7,3,8,5,,,0
Melampyrum cristatum,7,7,6,3,8,3,,~,0
Melampyrum nemorosum,5,6,6,4,6,4,,~,0
Melampyrum pratense,6,i,i,i,3,2,,,0
Melampyrum subalpinum,6,5,6,4,9,3,,,0
Melampyrum subalpinum var. subalpinum,6,5,6,4,9,3,,,0
Melampyrum subalpinum var. thermale,6,6,7,3,9,3,,,0
Melampyrum sylvaticum,i,4,i,i,2,2,,,0
Melica altissima,6,7,7,4,8,4,,,0
Melica ciliata,8,6,5,1,7,2,,,0
Melica ciliata subsp. ciliata,8,6,5,1,7,2,,,0
Melica ciliata subsp. glauca,8,6,7,1,7,2,,,0
Melica nutans,4,i,6,5,7,4,,~,0
Melica picta,5,7,8,4,7,4,,,0
Melica transsilvanica,8,7,7,3,6,4,,,0
Melica uniflora,4,6,3,5,6,4,,~,0
Melilotus albus,9,6,i,4,7,4,,,1
Melilotus altissimus,8,6,5,7,7,6,,~,2
Melilotus dentatus,8,6,8,6,7,5,,~,2
Melilotus indicus,9,6,6,3,7,6,,~,2
Melilotus infestus,8,9,4,3,7,6,,,2
Melilotus officinalis,8,6,8,4,7,5,,,1
Melilotus sulcatus,8,8,5,4,6,5,,,1
Melissa officinalis,6,7,7,4,7,6,,,0
Melittis melissophyllum subsp. melissophyllum,5,7,4,4,7,3,,,0
Memoremea scorpioides,4,6,7,6,7,7,,,0
Mentha aquatica,7,5,i,9,7,6,,=,1
Mentha arvensis,7,5,i,7,6,5,,~,1
Mentha longifolia,7,5,i,8,7,8,,~,1
Mentha pulegium,8,7,i,7,7,5,,=,2
Mentha spicata,7,7,4,7,7,7,,~,1
Mentha suaveolens,8,7,3,8,6,5,,=,1
Mentha x carinthiaca,7,5,4,8,6,6,,,0
Mentha x dalmatica,7,6,4,8,8,7,,,0
Mentha x dumetorum,7,5,4,9,8,8,,,0
Mentha x piperita,8,7,5,6,7,6,,,1
Mentha x smithiana,7,5,i,6,7,8,,,0
Mentha x verticillata,7,5,i,8,6,5,,~,1
Mentha x verticillata agg.,7,5,i,8,6,5,,~,1
Mentha x villosa,7,8,5,6,5,7,,,0
Menyanthes trifoliata,8,4,i,10,4,3,,~,0
Mercurialis annua,7,7,i,4,7,7,,,0
Mercurialis ovata,5,7,6,3,8,4,,,0
Mercurialis perennis,3,i,i,5,8,6,,,0
Mercurialis x paxii,7,7,6,4,8,4,,,0
Mespilus germanica,6,8,6,4,6,4,,,0
Meum athamanticum,8,4,3,5,4,3,,~,0
Micranthes hieraciifolia,8,2,5,6,7,2,,,0
Micranthes stellaris,8,2,4,8,5,4,,=,0
Micranthes stellaris subsp. prolifera,7,3,6,9,5,4,,=,0
Micranthes stellaris subsp. robusta,8,2,4,8,5,4,,=,0
Microrrhinum litorale,9,8,5,3,7,3,,,2
Microrrhinum minus,9,6,4,4,7,5,,,0
Microthlaspi erraticum,8,6,4,3,8,3,,,0
Microthlaspi perfoliatum,8,7,5,3,8,3,,,0
Microthlaspi perfoliatum agg.,8,6,5,3,8,3,,,0
Milium effusum,4,5,i,6,6,5,,,0
Milium effusum subsp. alpicola,4,3,i,6,6,6,,,0
Milium effusum subsp. effusum,4,5,i,6,6,5,,,0
Mimulus guttatus,7,5,4,9,6,6,,=,1
Mimulus moschatus,7,6,3,8,5,6,,=,0
Mimulus ringens,7,6,3,8,6,7,,=,0
Minuartia recurva,9,1,i,3,3,1,,,0
Minuartia rubra,9,8,6,2,8,2,,,0
Minuartia setacea,9,7,7,1,8,1,,,0
Minuartia setacea subsp. bannatica,9,7,7,2,7,1,,,0
Minuartia setacea subsp. setacea,9,7,7,1,8,1,,,0
Mirabilis jalapa,7,9,3,4,6,5,,,0
Miscanthus sacchariflorus,7,8,5,5,5,7,,,0
Miscanthus sinensis,8,8,6,5,5,7,,,0
Misopates orontium,8,7,4,4,5,4,,,0
Moehringia bavarica subsp. bavarica,7,5,5,3,9,2,,,0
Moehringia ciliata,9,2,6,5,7,2,,,0
Moehringia diversifolia,5,4,5,3,4,2,,,0
Moehringia muscosa,5,4,5,5,9,2,,~,0
Moehringia trinervia,4,5,i,5,6,6,,,0
Moenchia mantica,8,7,3,5,6,3,,~,0
Molinia arundinacea,6,6,5,6,i,4,,~,1
Molinia caerulea,7,i,i,7,i,2,,~,0
Molinia caerulea agg.,7,i,i,7,i,2,,~,1
Moneses uniflora,4,4,6,5,4,2,,,0
Montia fontana,8,4,i,9,4,4,,=,0
Montia fontana subsp. amporitana,8,5,3,8,3,5,,=,0
Montia fontana subsp. fontana,8,4,i,9,4,4,,=,0
Morus alba,6,7,5,6,7,6,,,0
Morus nigra,6,8,5,5,7,5,,,0
Muhlenbergia mexicana,8,6,2,3,8,8,,,0
Mummenhoffia alliacea,8,7,5,4,7,6,,,0
Muscari armeniacum,7,6,5,5,7,5,,,0
Muscari aucheri,7,6,3,5,7,5,,,0
Muscari azureum,7,7,5,4,7,5,,,0
Muscari botryoides,7,6,5,5,7,4,,,0
Muscari comosum,7,7,i,3,7,5,,,0
Muscari latifolium,5,7,3,4,5,5,,,0
Muscari neglectum,7,7,i,3,8,3,,,0
Muscari tenuiflorum,7,8,7,3,8,3,,,0
Mutellina adonidifolia,7,2,5,6,5,4,,,0
Myagrum perfoliatum,7,7,7,4,8,5,,~,1
Myosotis alpestris,8,2,7,5,8,4,,,0
Myosotis arvensis subsp. arvensis,7,6,i,5,6,6,,,0
Myosotis decumbens,6,3,6,6,6,7,,,0
Myosotis decumbens subsp. decumbens,6,3,6,6,5,7,,,0
Myosotis decumbens subsp. kerneri,6,4,6,6,7,6,,,0
Myosotis decumbens subsp. variabilis,6,4,6,7,5,7,,,0
Myosotis discolor,8,6,4,4,4,3,,,0
Myosotis laxa subsp. caespitosa,7,6,i,9,5,6,,=,1
Myosotis nemorosa,6,5,6,8,5,6,,~,0
Myosotis ramosissima,9,6,4,2,7,2,,,0
Myosotis rehsteineri,9,6,5,10,8,3,,~,0
Myosotis scorpioides,6,i,6,8,6,6,,~,1
Myosotis sparsiflora,5,6,7,6,7,7,,,0
Myosotis stenophylla,8,7,6,3,7,3,,,0
Myosotis stricta,9,6,6,2,5,2,,,0
Myosotis sylvatica,6,5,5,5,6,7,,,0
Myosurus minimus,8,7,7,6,6,5,,~,1
Myricaria germanica,8,4,7,8,8,3,,=,0
Myriophyllum alterniflorum,7,5,4,12,5,3,,,0
Myriophyllum aquaticum,7,6,5,12,6,7,,,0
Myriophyllum heterophyllum,7,8,6,12,5,6,,,0
Myriophyllum spicatum,6,6,i,12,8,7,,,1
Myriophyllum verticillatum,5,6,7,12,7,6,,,0
Myrrhis odorata,7,4,4,6,7,7,,,0
Najas flexilis,5,7,6,12,8,4,,,2
Najas marina,5,7,i,12,9,5,,,2
Najas marina subsp. major,5,7,7,12,9,4,,,2
Najas marina subsp. marina,5,7,i,12,9,6,,,2
Najas minor,6,8,7,12,8,4,,,2
Narcissus minor,7,3,3,5,8,5,,,0
Narcissus poëticus,8,6,4,6,6,5,,,0
Narcissus pseudonarcissus,8,6,2,5,4,5,,,0
Narcissus radiiflorus,8,4,5,6,7,4,,~,0
Narcissus x incomparabilis,8,8,4,5,6,5,,,0
Nardus stricta,8,i,i,i,2,2,,~,0
Nasturtium microphyllum,7,6,2,11,6,7,,,1
Nasturtium officinale,7,6,4,11,7,7,,,1
Nasturtium officinale agg.,7,6,4,11,7,7,,,1
Nasturtium x sterile,8,6,3,11,7,7,,,0
Neotinea tridentata subsp. tridentata,9,6,4,3,8,2,,,0
Neotinea ustulata,9,i,i,4,7,3,,~,0
Neotinea ustulata subsp. aestivalis,9,7,6,5,7,3,,~,0
Neotinea ustulata subsp. ustulata,9,i,i,4,7,3,,,0
Neottia nidus-avis,3,i,i,5,7,5,,,0
Nepeta cataria,8,7,i,4,7,7,,,1
Nepeta nuda,8,7,8,3,7,4,,,0
Nepeta racemosa,8,7,7,2,6,3,,,0
Nepeta x faassenii,8,7,i,2,7,4,,,0
Neslia paniculata,7,6,6,4,8,5,,,0
Nicandra physalodes,8,8,i,5,7,7,,,0
Nicotiana alata,7,8,2,5,5,4,,,0
Nicotiana rustica,7,8,7,5,5,7,,,0
Nicotiana tabacum,7,8,2,5,5,7,,,0
Nigella arvensis,8,7,6,3,8,4,,,0
Nigella damascena,8,8,5,4,6,5,,,0
Nigritella archiducis-joannis,9,2,4,4,9,2,,,0
Nigritella bicolor,9,2,5,4,9,2,,,0
Nigritella lithopolitanica,9,2,5,4,8,2,,,0
Nigritella miniata,9,2,5,4,9,2,,,0
Nigritella minor,9,2,5,4,8,2,,,0
Nigritella nigra subsp. austriaca,8,2,4,4,6,2,,,0
Nigritella rhellicani,8,2,5,4,7,3,,,0
Nigritella stiriaca,9,2,5,4,9,2,,,0
Nigritella widderi,9,2,5,4,9,2,,,0
Noccaea caerulescens s. lat.,8,4,3,4,5,4,,,0
Noccaea crantzii,8,2,5,6,9,2,,,0
Noccaea goesingensis,7,6,5,3,8,2,,,0
Noccaea minima,8,2,4,5,9,3,,,0
Noccaea montana,6,5,4,3,9,2,,,0
Noccaea praecox,8,6,6,3,8,2,,,0
Noccaea rotundifolia,9,2,5,5,9,3,,,0
Noccaea rotundifolia subsp. cepaeifolia,9,3,5,6,8,2,,,0
Noccaea rotundifolia subsp. rotundifolia,9,2,4,5,9,3,,,0
Nonea lutea,8,8,6,3,6,4,,,0
Nonea pulla,8,7,7,3,8,3,,,0
Nuphar lutea,8,6,i,11,7,7,,,0
Nuphar pumila,8,4,7,11,4,3,,,0
Nymphaea alba,8,6,i,11,7,6,,,0
Nymphaea candida,8,6,7,11,5,4,,,0
Nymphoides peltata,8,7,i,11,7,7,,,0
Odontarrhena murale,8,8,7,3,7,3,,,0
Odontites luteus,8,7,6,2,9,2,,,0
Odontites vernus,7,6,3,5,6,5,,~,1
Odontites vulgaris,7,6,i,6,6,5,,~,2
Oenanthe aquatica,7,6,i,10,7,7,,~,1
Oenanthe banatica,6,8,7,7,6,4,,,0
Oenanthe fistulosa,7,7,4,9,7,5,,=,1
Oenanthe silaifolia,8,7,i,8,7,5,,~,2
Oenothera acutifolia,8,7,i,4,7,5,,,1
Oenothera albipercurva,8,7,i,4,7,5,,,1
Oenothera ammophila,9,7,4,3,8,5,,,1
Oenothera angustissima,8,6,4,4,7,6,,,1
Oenothera biennis,9,7,i,4,7,4,,,1
Oenothera cambrica,8,7,i,4,7,5,,,1
Oenothera canovirens,7,8,5,3,5,5,,,1
Oenothera carinthiaca,8,7,i,4,7,5,,,1
Oenothera casimiri,8,7,i,4,7,5,,,1
Oenothera compacta,8,7,i,4,7,5,,,1
Oenothera cruciata,8,7,i,4,7,5,,,1
Oenothera deflexa,8,7,5,4,6,6,,,1
Oenothera depressa,8,8,5,3,5,5,,,1
Oenothera fallax,7,7,5,4,7,6,,,1
Oenothera fruticosa,8,7,i,4,7,5,,,1
Oenothera glazioviana,8,7,5,3,7,5,,,1
Oenothera heiniana,8,7,i,4,7,5,,,1
Oenothera hoelscheri,8,7,i,4,7,5,,,1
Oenothera inconspecta,8,7,i,4,7,5,,,1
Oenothera issleri,8,7,4,3,6,5,,,1
Oenothera laciniata,8,6,6,5,6,6,,,1
Oenothera macrocarpa,8,7,i,4,7,5,,,1
Oenothera oakesiana,8,7,6,4,5,5,,,1
Oenothera paradoxa,8,7,i,4,7,5,,,1
Oenothera parviflora,8,7,3,3,6,5,,,1
Oenothera perangusta,7,8,5,3,5,5,,,1
Oenothera perennis,8,7,i,4,7,5,,,1
Oenothera punctulata,8,7,i,4,7,5,,,1
Oenothera pycnocarpa,7,7,5,4,5,6,,,1
Oenothera rosea,9,7,4,3,5,4,,,1
Oenothera royfraseri,8,7,i,4,7,5,,,1
Oenothera rubricaulis,8,7,i,4,6,4,,,1
Oenothera ser. Rugglesia,8,6,i,3,7,3,,,1
Oenothera stricta,9,7,5,4,5,5,,,1
Oenothera stucchii,8,8,2,6,5,7,,,1
Oenothera suaveolens,8,7,4,5,7,5,,,1
Oenothera subterminalis,8,7,7,4,6,6,,,1
Oenothera victorinii,7,8,5,3,5,5,,,1
Oenothera wienii,8,7,i,4,7,5,,,1
Oloptum miliaceum,7,8,5,3,7,5,,,1
Omalotheca hoppeanum,8,2,3,6,8,4,,,0
Omalotheca norvegicum,7,3,5,5,4,4,,,0
Omalotheca supinum,8,1,i,7,3,4,,~,0
Omalotheca sylvaticum,7,5,i,5,4,4,,,0
Omphalodes verna,4,6,5,5,7,6,,,0
Onobrychis arenaria,8,7,8,2,8,3,,,0
Onobrychis arenaria subsp. arenaria,8,7,8,2,8,3,,,0
Onobrychis arenaria subsp. taurerica,8,4,7,3,6,3,,,0
Onobrychis montana,9,3,6,3,9,2,,,0
Onobrychis viciifolia,8,6,7,4,8,3,,~,0
Ononis arvensis,8,6,7,4,7,3,,~,1
Ononis mitissima,9,8,4,3,8,5,,,4
Ononis natrix,8,8,i,3,8,2,,,0
Ononis pusilla,9,8,6,2,8,1,,,0
Ononis repens subsp. procurrens,8,5,3,4,7,3,,~,0
Ononis rotundifolia,6,5,8,3,8,2,,,0
Ononis spinosa,8,6,6,4,7,3,,~,1
Ononis spinosa subsp. austriaca,8,6,6,5,7,3,,~,1
Ononis spinosa subsp. spinosa,8,6,5,4,7,3,,~,1
Onopordum acanthium,9,7,i,4,7,8,,,1
Onopordum illyricum,9,8,4,2,7,9,,,0
Onopordum tauricum,9,6,6,3,7,8,,,0
Onosma arenaria subsp. arenaria,8,8,8,2,8,1,,,0
Onosma helvetica subsp. austriaca,8,8,5,1,7,1,,,0
Onosma visianii,9,8,5,2,9,1,,,0
Ophioglossum vulgatum,6,6,3,7,7,3,,~,1
Ophrys apifera,7,7,i,4,9,3,,,0
Ophrys holosericea subsp. holosericea,8,8,6,4,9,2,,~,0
Ophrys insectifera,7,5,4,4,8,3,,,0
Ophrys sphegodes,8,8,4,4,8,3,,~,0
Opuntia humifusa,9,9,5,1,4,2,,,0
Opuntia phaeacantha,9,9,5,1,5,2,,,0
Orchis anthropophora,8,7,3,3,8,3,,~,0
Orchis mascula,6,5,i,4,7,3,,,0
Orchis mascula subsp. mascula,6,5,i,4,7,3,,,0
Orchis mascula subsp. speciosa,7,4,i,4,7,3,,,0
Orchis militaris,7,6,6,4,8,3,,~,0
Orchis pallens,4,5,5,5,8,4,,,0
Orchis purpurea,6,7,5,4,8,3,,~,0
Orchis simia,8,8,6,3,8,2,,,0
Orchis spitzelii,7,4,6,4,8,2,,,0
Oreochloa disticha,9,1,5,4,2,1,,,0
Oreojuncus monanthos,9,2,6,2,8,2,,,0
Oreojuncus trifidus,9,2,i,3,2,2,,,0
Oreopteris limbosperma,4,4,3,6,3,4,,~,0
Origanum majorana,7,8,3,5,8,6,,,0
Origanum vulgare,7,i,i,4,7,4,,,0
Orlaya grandiflora,8,7,5,3,9,4,,,0
Ornithogalum divergens,7,8,6,3,7,5,,~,0
Ornithogalum kochii s. lat.,8,8,i,i,7,3,,,0
Ornithogalum kochii s. str.,8,8,4,2,7,3,,,0
Ornithogalum orbelicum,6,7,5,6,5,5,,~,0
Ornithogalum pannonicum,9,8,6,2,8,1,,,0
Ornithogalum tenue,8,8,6,2,7,3,,,0
